メーカー名,正規化名,分類,正式商号,法人番号,所在地,公式HP,電話,問い合わせフォームURL,メール,取得手段,出典URL,確度,備考,別名
Biwin,Biwin,英字ブランド,"BIWIN Storage Technology Co., Ltd.（深圳佰維存儲科技股份有限公司）",,"Building #4, South Zone #2, Zhongguan Honghualing Industrial Zone, Nanshan District, Shenzhen, Guangdong, China",https://www.biwintech.com/,+86-755-2671-5701,,support@biwintech.com,Exa検索(エージェント取得),https://www.biwintech.com/about/ ; https://www.biwintechnology.com/about-us/,確定,[Exa検索(エージェント取得)] 上海証券取引所科創板 上場（688525）の中国メーカー。日本法人・日本窓口なし。**海外法人のため初回5万円の直取引相手にはならない** / Exa取得日:2026-09-04,
OHAJIKI,OHAJIKI,英字ブランド,,,,,,,,,,不明,,
WORKPRO,WORKPRO,英字ブランド,,,,,,,,,,不明,,
happilaff,happilaff,英字ブランド,,,,,,,,,,不明,,
Rolling Square,Rolling Square,英字ブランド,,,,,,,,,,不明,,
Krunia,Krunia,英字ブランド,,,,,,,,,,不明,,
Logicool G(ロジクール G),Logicool G,和名法人らしき,,,,,,,,,,不明,,ロジクール G | ロジクール
52TOYS,52TOYS,英字ブランド,,,,,,,,,,不明,,
viangs,viangs,英字ブランド,,,,,,,,,,不明,,
ピープル,ピープル,和名法人らしき,"ピープル株式会社（People Co.,Ltd.）",,〒103-0004 東京都中央区東日本橋2-15-5 VORT東日本橋,https://www.people-kk.co.jp/,03-3862-2768,https://www.people-kk.co.jp/contact/,,Exa検索(エージェント取得),https://www.people-kk.co.jp/company/corporate/ ; https://www.people-kk.co.jp/contact/,確定,[Exa検索(エージェント取得)] ★打診可能。東証スタンダード上場だが社員40名の小規模組織。**問い合わせページに『法人のお客様、企業や採用に関してお問い合わせのある方は、こちらから』という法人専用窓口が明示されている**。2026年5月にFAXを廃止しフォームへ一本化。営業お断りの記載なし。商品窓口は別途 03-3862-3739 / Exa取得日:2026-09-04,
東映,東映,和名法人らしき,"東映株式会社（TOEI COMPANY, LTD.）",,〒104-8108 東京都中央区京橋2丁目2番1号 京橋エドグラン,https://www.toei.co.jp/,03-3535-4641,https://faq.toei.co.jp/faq/index.html,,Exa検索(エージェント取得),https://www.toei.co.jp/company/profile/index.html ; https://www.toei.co.jp/ir/library/securities/__icsFiles/afieldfile/2025/06/25/0625.pdf,確定,[Exa検索(エージェント取得)] ★★仕入れ窓口が別会社に移っている。有価証券報告書に『当社は2024年4月1日を効力発生日として、**DVD・ブルーレイディスク販売等のパッケージ事業を会社分割により東映ビデオ株式会社へ承継**』と明記。したがってDVD/BDの取引相手は東映本体ではなく**東映ビデオ株式会社**。電話は有報記載の代表番号（一次情報）。所在地は会社概要（京橋エドグラン）と有報の本店（中央区銀座3-2-17）が食い違うが、新しい会社概要を採った。東証プライム上場・従業員445名 / Exa取得日:2026-09-04,
株式会社ストームレーベルズ/イーラブ・レーベル,株式会社ストームレーベルズ,和名法人らしき,,,,,,,,,,不明,,イーラブ・レーベル
Ibealuty,Ibealuty,英字ブランド,,,,,,,,,,不明,,
JBL,JBL,英字ブランド,,,,,,,,,,不明,,
Vulmoon,Vulmoon,英字ブランド,,,,,,,,,,不明,,
Insta360,Insta360,英字ブランド,,,,,,,,,,不明,,
パラマウント,パラマウント,和名法人らしき,,,,,,,,,,不明,,
aestiquo,aestiquo,英字ブランド,,,,,,,,,,不明,,
イースター株式会社,イースター株式会社,和名法人らしき,,,,,,,,,,不明,,
DUNLOP,DUNLOP,英字ブランド,,,,https://sports.dunlop.co.jp/,0120-65-3045,https://sports.dunlop.co.jp/golf/inquiry/,,既取得55社(T-20260804-001),https://sports.dunlop.co.jp/golf/inquiry/,確定,[既取得55社(T-20260804-001)] 対象はゴルフボール。製造=住友ゴム工業。窓口=ダンロップスポーツマーケティング。直取引困難・正規窓口 / 規模:大手 / 元メーカー名表記:ダンロップ DUNLOP,
河合出版,河合出版,和名法人らしき,,,,,,,,,,不明,,
ルイファン ジャパン(Ruifan Japan),ルイファン ジャパン,和名法人らしき,,,,,,,,,,不明,,Ruifan Japan
マガジンハウス,マガジンハウス,和名法人らしき,,,,,,,,,,不明,,
Gigastone,Gigastone,英字ブランド,,,,,,,,,,不明,,
NBCユニバーサル・エンターテイメントジャパン(LAQ),NBCユニバーサル・エンターテイメントジャパン,和名法人らしき,,,,,,,,,,不明,,ユニバーサル・エンターテイメントジャパン | NBC | LAQ
マテル(MATTEL),マテル,和名法人らしき,,,,,,,,,,不明,,MATTEL
Random House Books for Young Readers,Random House Books for Young Readers,英字ブランド,,,,,,,,,,不明,,
経済法令研究会,経済法令研究会,和名法人らしき,,,,,,,,,,不明,,
Johnny & Associates,Johnny & Associates,英字ブランド,,,,,,,,,,不明,,
Motowolf,Motowolf,英字ブランド,,,,,,,,,,不明,,
ERJ,ERJ,英字ブランド,,,,,,,,,,不明,,
ホンダ(Honda),ホンダ,和名法人らしき,,,,,,,,,,不明,,Honda
Arrow Video,Arrow Video,英字ブランド,,,,,,,,,,不明,,
Crimson,Crimson,英字ブランド,,,,,,,,,,不明,,
avex trax,avex trax,英字ブランド,,,,,,,,,,不明,,
Perfection Learning,Perfection Learning,英字ブランド,,,,,,,,,,不明,,
アリオラジャパン,アリオラジャパン,和名法人らしき,,,,,,,,,,不明,,
Import,Import,英字ブランド,,,,,,,,,,不明,,
スパイク・チュンソフト,スパイク・チュンソフト,和名法人らしき,,,,,,,,,,不明,,
Xl Recordings,Xl Recordings,英字ブランド,,,,,,,,,,不明,,
バップ,バップ,和名法人らしき,,,,,,,,,,不明,,
The Beatles,The Beatles,英字ブランド,,,,,,,,,,不明,,
オスモカラー,オスモカラー,和名法人らしき,,,,,,,,,,不明,,
Rhythm Zone,Rhythm Zone,英字ブランド,,,,,,,,,,不明,,
日立(HITACHI),日立,和名法人らしき,,,,,,,,,,不明,,HITACHI
Leacco,Leacco,英字ブランド,,,,,,,,,,不明,,
Zeniss,Zeniss,英字ブランド,,,,,,,,,,不明,,
Ailewu,Ailewu,英字ブランド,,,,,,,,,,不明,,
Negolas,Negolas,英字ブランド,,,,,,,,,,不明,,
Tuwejia,Tuwejia,英字ブランド,,,,,,,,,,不明,,
ZVZHM,ZVZHM,英字ブランド,,,,,,,,,,不明,,
Kungix,Kungix,英字ブランド,,,,,,,,,,不明,,
TRAOO,TRAOO,英字ブランド,,,,,,,,,,不明,,
Fodalum,Fodalum,英字ブランド,,,,,,,,,,不明,,
basemax,basemax,英字ブランド,,,,,,,,,,不明,,
充電の達人,充電の達人,和名法人らしき,,,,,,,,,,不明,,
CITIZEN,CITIZEN,英字ブランド,,,,,,,,,,不明,,
Lenovo,Lenovo,英字ブランド,,,,,,,,,,不明,,
Klszear,Klszear,英字ブランド,,,,,,,,,,不明,,
Ralkepy,Ralkepy,英字ブランド,,,,,,,,,,不明,,
山形工房(Yamagata Koubou),山形工房,和名法人らしき,有限会社 山形工房,,〒993-0061 山形県長井市寺泉6493-2,https://www.kendama.co.jp/,0238-84-6062,https://kendama.co.jp/contact.html,info@kendama.co.jp,Exa検索(エージェント取得),https://www.kendama.co.jp/company.html ; https://kendama.co.jp/contact.html,確定,[Exa検索(エージェント取得)] ★★最有力。1973年創業・資本金800万円・従業員12名の木工メーカー。日本けん玉協会公認の競技用けん玉『大空』の製造元。**公式サイトのグローバルメニューに『OEM』の項目があり、OEM受託を自ら公開募集している**。問い合わせフォームに『会社名』欄があり法人からの問い合わせを想定。経産省『はばたく中小企業・小規模事業者300社』選定。営業お断りの記載なし。メールは第三者サイト（PARASUKU）掲載の組織アドレスのため要現物確認 / Exa取得日:2026-09-04,Yamagata Koubou
Tryone,Tryone,英字ブランド,,,,,,,,,,不明,,
YOCOEI,YOCOEI,英字ブランド,,,,,,,,,,不明,,
Hanmir,Hanmir,英字ブランド,,,,,,,,,,不明,,
GLAMERGY,GLAMERGY,英字ブランド,,,,,,,,,,不明,,
KEEZING,KEEZING,英字ブランド,,,,,,,,,,不明,,
Sanlao,Sanlao,英字ブランド,,,,,,,,,,不明,,
YIERSAN,YIERSAN,英字ブランド,,,,,,,,,,不明,,
Trywon,Trywon,英字ブランド,,,,,,,,,,不明,,
Erssimo,Erssimo,英字ブランド,,,,,,,,,,不明,,
Toyomii,Toyomii,英字ブランド,,,,,,,,,,不明,,
INTEX,INTEX,英字ブランド,,,,,,,,,,不明,,
Yokizu,Yokizu,英字ブランド,,,,,,,,,,不明,,
KEEPRO,KEEPRO,英字ブランド,,,,,,,,,,不明,,
SPAHER,SPAHER,英字ブランド,,,,,,,,,,不明,,
Augnner,Augnner,英字ブランド,,,,,,,,,,不明,,
Kemeskin,Kemeskin,英字ブランド,,,,,,,,,,不明,,
FiiO,FiiO,英字ブランド,,,,,,,,,,不明,,
Iosare,Iosare,英字ブランド,,,,,,,,,,不明,,
Yaotin,Yaotin,英字ブランド,,,,,,,,,,不明,,
Philoent,Philoent,英字ブランド,,,,,,,,,,不明,,
Pursay,Pursay,英字ブランド,,,,,,,,,,不明,,
YINCODI,YINCODI,英字ブランド,,,,,,,,,,不明,,
WISHOLY,WISHOLY,英字ブランド,,,,,,,,,,不明,,
CREATIVE,CREATIVE,英字ブランド,,,,,,,,,,不明,,
キヤノン,キヤノン,和名法人らしき,,,,,,,,,,不明,,
ハイポネックス,ハイポネックス,和名法人らしき,,,,,,,,,,不明,,
Dr.'s care,Dr.'s care,英字ブランド,,,,,,,,,,不明,,
SCYROX,SCYROX,英字ブランド,,,,,,,,,,不明,,
Nextorage,Nextorage,英字ブランド,,,,,,,,,,不明,,
Bmax,Bmax,英字ブランド,,,,,,,,,,不明,,
ビーイング,ビーイング,和名法人らしき,,,,,,,,,,不明,,
Veoyads,Veoyads,英字ブランド,,,,,,,,,,不明,,
Edifier,Edifier,英字ブランド,,,,,,,,,,不明,,
SP Silicon Power,SP Silicon Power,英字ブランド,,,,,,,,,,不明,,
エプソン,エプソン,和名法人らしき,,,,https://www.epson.jp/,050-3155-8700,https://www.epson.jp/contact/,,既取得55社(T-20260804-001),https://www.epson.jp/contact/,確定,[既取得55社(T-20260804-001)] 大手メーカー。インフォメーションセンター050-3155-8700。直取引困難・代理店/正規窓口経由 / 規模:大手 / 元メーカー名表記:エプソン EPSON,
DEPSTECH,DEPSTECH,英字ブランド,,,,,,,,,,不明,,
Jabra(ジャブラ),Jabra,和名法人らしき,,,,,,,,,,不明,,ジャブラ
iWIMIUS,iWIMIUS,英字ブランド,,,,,,,,,,不明,,
Marshall,Marshall,英字ブランド,,,,,,,,,,不明,,
BACOENG,BACOENG,英字ブランド,,,,,,,,,,不明,,
HIKMICRO,HIKMICRO,英字ブランド,,,,,,,,,,不明,,
ワンダーランド,ワンダーランド,和名法人らしき,株式会社ワンダーランド（WONDERLAND COMPANY LTD.）,,〒130-0014 東京都墨田区亀沢4-5-7 ワンダーランドビル3F,https://wonderland-toy.com/,03-6280-8181,,,Exa検索(エージェント取得),https://wonderland-toy.com/about/ ; https://wonderland-toy.com/access/,確定,[Exa検索(エージェント取得)] ★本丸候補。1999年設立・従業員10名・資本金1000万円。玩具/雑貨の企画・製作・製造・販売。ただし会社概要の『主要販売先』はバンダイ・エンスカイ・サンリオ等の大手メーカーと一次問屋であり、**小売への直販実績は不明**。打診はできるが条件は要確認 / Exa取得日:2026-09-04,
amBand,amBand,英字ブランド,,,,,,,,,,不明,,
HOUOA,HOUOA,英字ブランド,,,,,,,,,,不明,,
Ｌａｚｙｍｅ,Lazyme,英字ブランド,,,,,,,,,,不明,,
RiDATA,RiDATA,英字ブランド,,,,,,,,,,不明,,
Yonker,Yonker,英字ブランド,,,,,,,,,,不明,,
あしあげ隊,あしあげ隊,和名法人らしき,株式会社タツフト,,〒141-0031 東京都品川区西五反田2丁目15-7 ジブラルタ生命五反田ビル1F,https://www.tatsufuto.co.jp/,03-3779-6186,https://www.tatsufuto.co.jp/ashiage/lp/,,Exa検索(エージェント取得),https://www.tatsufuto.co.jp/office/ ; https://www.tatsufuto.co.jp/ashiage/lp/,確定,[Exa検索(エージェント取得)] 『あしあげ隊』はブランド名で、法人は株式会社タツフト。フォームは法人向けLP内のもの（種別=法人・商談希望の選択肢あり）。**卸・OEM の打診先として最も筋が良い1社**。法人番号は未取得 / Exa取得日:2026-09-04,
mimimamo,mimimamo,英字ブランド,,,,,,,,,,不明,,
ZYQ,ZYQ,英字ブランド,,,,,,,,,,不明,,
コンテンツ・ファクトリー,コンテンツ・ファクトリー,和名法人らしき,株式会社コンテンツ・ファクトリー,6011001042017,〒150-0031 東京都渋谷区桜丘町27番5号,,,,,Exa検索(エージェント取得),https://houjin.jp/c/6011001042017 ; https://cnavi.g-search.or.jp/detail/6011001042017.html,候補,[Exa検索(エージェント取得)] **商号・法人番号・所在地は取れたが、連絡手段はゼロ。** 出典はいずれも国税庁データの二次配信サイトで、公式HP・電話は『-』（未登録）。自社サイトが見つからない。★同名の『株式会社コンテンツファクトリー』（中黒なし・東京都品川区・法人番号2010701035564）が別に存在し、こちらは2026-03-13に閉鎖済み。**混同しないこと** / Exa取得日:2026-09-04,
TOPADRE,TOPADRE,英字ブランド,,,,,,,,,,不明,,
Kachiari,Kachiari,英字ブランド,,,,,,,,,,不明,,
KCUVSSKKII,KCUVSSKKII,英字ブランド,,,,,,,,,,不明,,
Beanet,Beanet,英字ブランド,,,,,,,,,,不明,,
KAYOTOYS カヨトイズ,KAYOTOYS カヨトイズ,和名法人らしき,,,,,,,,,,不明,,カヨトイズ | KAYOTOYS
駿台文庫,駿台文庫,和名法人らしき,駿台文庫株式会社,6010001020230,〒101-0041 東京都千代田区神田駿河台1-7-4 小畑ビル6階,https://www.sundaibunko.jp/,03-5259-3301,https://www.sundaibunko.jp/company/contact.html,,Exa検索(エージェント取得),https://www.sundaibunko.jp/company/contact.html ; https://ja.wikipedia.org/wiki/駿台文庫,確定,"[Exa検索(エージェント取得)] 駿台予備学校グループの出版社。資本金2,000万円・従業員114名。受付9:30-16:30（月〜金）。法人番号はWikipedia由来のため参考。公式サイトに『インターネットでのご購入についてのお問い合わせは各販売サイトへ直接』とあり、直販窓口ではない / Exa取得日:2026-09-04",
アステッキホールディングス株式会社,アステッキホールディングス株式会社,和名法人らしき,,,,,,,,,,不明,,
Aiolo Innovation,Aiolo Innovation,英字ブランド,,,,,,,,,,不明,,
Oliforu,Oliforu,英字ブランド,,,,,,,,,,不明,,
Topcony,Topcony,英字ブランド,,,,,,,,,,不明,,
アセキ,アセキ,和名法人らしき,,,,,,,,,,不明,,
Mzyxxel,Mzyxxel,英字ブランド,,,,,,,,,,不明,,
UYIKOO,UYIKOO,英字ブランド,,,,,,,,,,不明,,
Yorano,Yorano,英字ブランド,,,,,,,,,,不明,,
Kiboer,Kiboer,英字ブランド,,,,,,,,,,不明,,
Lamake,Lamake,英字ブランド,,,,,,,,,,不明,,
富士フイルム(FUJIFILM),富士フイルム,和名法人らしき,,,,,,,,,,不明,,FUJIFILM
COMEDYKING,COMEDYKING,英字ブランド,,,,,,,,,,不明,,
カワサキ(Kawasaki),カワサキ,和名法人らしき,株式会社カワサキモータースジャパン,9140001034735,〒673-8666 兵庫県明石市川崎町1番1号,https://www.kawasaki-motors.com/ja-jp/,0120-400819,,,Exa検索(エージェント取得),https://www.kawasaki-motors.com/ja-jp/corporate,確定,[Exa検索(エージェント取得)] 代表商品『Vent Vert 冴強』はカワサキ純正オイル。1回目の検索では『トタル・ルブリカンツ・ジャパン（受託製造元）』『株式会社ヴァンヴェール（無関係）』『株式会社ルチア（無関係な育毛剤）』が混在し確定できず、2回目の検索で総販売元を特定した。法人番号は公式サイト記載のインボイス登録番号 T9140001034735 の T を除いた値。電話はお客様相談室のフリーダイヤル（仕入れ窓口ではない） / Exa取得日:2026-09-04,Kawasaki
OOFOS(ウーフォス),OOFOS,和名法人らしき,,,,,,,,,,不明,,ウーフォス
Ci-Fotto,Ci-Fotto,英字ブランド,,,,,,,,,,不明,,
中央法規出版,中央法規出版,和名法人らしき,中央法規出版株式会社,,〒110-0016 東京都台東区台東3-29-1,https://www.chuohoki.co.jp/,03-3834-5810,https://www.chuohoki.co.jp/site/pages/contact.aspx,,Exa検索(エージェント取得),https://www.chuohoki.co.jp/site/pages/corporate-info.aspx ; https://www.chuohoki.co.jp/site/pages/contact.aspx,確定,"[Exa検索(エージェント取得)] 昭和22年創立・資本金5,000万円・社員228名。本社代表 03-3834-5810、問い合わせ窓口 03-6387-3196。福祉/厚生分野の専門出版社 / Exa取得日:2026-09-04",
GOYOJO,GOYOJO,英字ブランド,,,,,,,,,,不明,,
Safigor,Safigor,英字ブランド,,,,,,,,,,不明,,
FAR EAST GADGET,FAR EAST GADGET,英字ブランド,,,,,,,,,,不明,,
ZRZK,ZRZK,英字ブランド,,,,,,,,,,不明,,
BeeTool,BeeTool,英字ブランド,,,,,,,,,,不明,,
JASON MARKK(ジェイソンマーク),JASON MARKK,和名法人らしき,株式会社GRIDDY,,〒150-0001 東京都渋谷区神宮前1-1-8 402,https://jasonmarkk.co.jp/,03-6438-9786,https://jasonmarkk.co.jp/pages/contact-us,contact@griddyinc.com,Exa検索(エージェント取得),https://jasonmarkk.co.jp/policies/legal-notice ; https://jasonmarkk.co.jp/pages/contact-us,確定,[Exa検索(エージェント取得)] JASON MARKK は米国のスニーカーケアブランド。日本の販売元は株式会社GRIDDY。**出典は特定商取引法に基づく表記＝法律で掲示が義務づけられた一次情報**（受付9:00-18:00 土日祝除く）。原宿にフラッグシップストアあり（03-6455-5012）。中小規模で打診の余地がある / Exa取得日:2026-09-04,ジェイソンマーク
技術評論社,技術評論社,和名法人らしき,"株式会社技術評論社（Gijutsu-Hyohron Co., Ltd.）",9011101044934,〒162-0846 東京都新宿区市谷左内町21-13,https://gihyo.jp/,03-3513-6150,,,Exa検索(エージェント取得),https://gihyo.jp/site/profile ; https://direct.gihyo.jp/view/company,確定,"[Exa検索(エージェント取得)] 電話は販売促進部（公式会社案内に掲載）。Gihyo Direct 側には 03-3513-6158 と別番号あり。法人番号はWikipedia由来のため参考。資本金3,000万円。出版社は取次流通が基本 / Exa取得日:2026-09-04",
GuMosh,GuMosh,英字ブランド,,,,,,,,,,不明,,
iplusmile,iplusmile,英字ブランド,,,,,,,,,,不明,,
モリドライブ(MORIDRIVE),モリドライブ,和名法人らしき,"ルート産業株式会社（ROOT SANGYO CO.,LTD.）",,〒270-0161 千葉県流山市鰭ヶ崎2097,https://rootsangyo.co.jp/,04-7150-3541,,,Exa検索(エージェント取得),https://rootsangyo.co.jp/company/,確定,[Exa検索(エージェント取得)] ★本丸候補。1978年創業・従業員12名・資本金1000万円の中小メーカー。『MORIDRIVE』は自社オリジナルブランド。会社情報に『企業様向けのご提案も行っております』と明記＝**B2B取引を自ら募集している**。営業お断りの記載なし / Exa取得日:2026-09-04,MORIDRIVE
オーム社,オーム社,和名法人らしき,"株式会社オーム社（Ohmsha, Ltd.）",2010001013304,〒101-8460 東京都千代田区神田錦町3-1,https://www.ohmsha.co.jp/,03-3233-0641,,,Exa検索(エージェント取得),https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2010001013304 ; https://www.nspa.or.jp/publishers/ohmsha/,確定,[Exa検索(エージェント取得)] 法人番号・所在地は gBizINFO（経産省）で確認。電話は自然科学書協会の会員名簿（業界団体の一次資料）。1914年創業の技術書出版社。出版社は取次経由の流通が基本で、直取引の相手ではない / Exa取得日:2026-09-04,
Tibnozt,Tibnozt,英字ブランド,,,,,,,,,,不明,,
adidas Originals,adidas Originals,英字ブランド,,,,,,,,,,不明,,
AboveTEK,AboveTEK,英字ブランド,,,,,,,,,,不明,,
Avylet,Avylet,英字ブランド,,,,,,,,,,不明,,
8Bitdo,8Bitdo,英字ブランド,,,,,,,,,,不明,,
BQEYZ,BQEYZ,英字ブランド,,,,,,,,,,不明,,
UTRAI,UTRAI,英字ブランド,,,,,,,,,,不明,,
AQielev,AQielev,英字ブランド,,,,,,,,,,不明,,
ウェイモール (WEIMALL),ウェイモール,和名法人らしき,,,,https://weimall.jp/,050-8882-5001,,weimallyh@weiec.jp,既取得55社(T-20260804-001),https://weimall.jp/html/company.html,確定,[既取得55社(T-20260804-001)] 運営はWEIWEIホールディングス株式会社。電話050-8882-5001、メールweimallyh@weiec.jp / 規模:中小 / 元メーカー名表記:ウェイモール WEIMALL,WEIMALL
ドリーミュージック,ドリーミュージック,和名法人らしき,株式会社ドリーミュージック,4011001053247,〒150-0001 東京都渋谷区神宮前1-4-16 神宮前M-SQUARE,https://dreamusic.co.jp/,03-6892-1613,https://dreamusic.co.jp/inquiry/,,Exa検索(エージェント取得),https://dreamusic.co.jp/company/ ; https://houjin.jp/c/4011001053247,確定,[Exa検索(エージェント取得)] 法人番号は houjin.jp（国税庁データの二次配信）由来のため参考。商号・所在地・電話は公式会社概要で確認。メールは非公開（フォームのみ） / Exa取得日:2026-09-04,
Cheery,Cheery,英字ブランド,,,,,,,,,,不明,,
Nexmora,Nexmora,英字ブランド,,,,,,,,,,不明,,
KIUP,KIUP,英字ブランド,,,,,,,,,,不明,,
TESSAN,TESSAN,英字ブランド,,,,,,,,,,不明,,
GAGULA,GAGULA,英字ブランド,,,,,,,,,,不明,,
PRETYDAY,PRETYDAY,英字ブランド,,,,,,,,,,不明,,
Lettop,Lettop,英字ブランド,,,,,,,,,,不明,,
Inkkey,Inkkey,英字ブランド,,,,,,,,,,不明,,
GEKETY,GEKETY,英字ブランド,,,,,,,,,,不明,,
エアブラシワークス,エアブラシワークス,和名法人らしき,,,,,,,,,,不明,,
NAIGAI,NAIGAI,英字ブランド,,,,,,,,,,不明,,
YOOPAI,YOOPAI,英字ブランド,,,,,,,,,,不明,,
Aulumu,Aulumu,英字ブランド,,,,,,,,,,不明,,
GRAPHT (グラフト),GRAPHT,和名法人らしき,,,,,,,,,,不明,,グラフト
Letibe,Letibe,英字ブランド,,,,,,,,,,不明,,
ビデオメーカー,ビデオメーカー,和名法人らしき,,,,,,,,,,不明,,
SHOKZ,SHOKZ,英字ブランド,,,,,,,,,,不明,,
nimin,nimin,英字ブランド,,,,,,,,,,不明,,
Keychron,Keychron,英字ブランド,,,,,,,,,,不明,,
SOOEO,SOOEO,英字ブランド,,,,,,,,,,不明,,
MiiElAOD,MiiElAOD,英字ブランド,,,,,,,,,,不明,,
ZIPPO,ZIPPO,英字ブランド,,,,,,,,,,不明,,
イガラシ(Igarashi),イガラシ,和名法人らしき,,,,,,,,,,不明,,Igarashi
Generic,Generic,ノーブランド・個人らしき,,,,,,,,,,不明,,
Laundrin'(ランドリン),Laundrin',和名法人らしき,,,,,,,,,,不明,,ランドリン
こぐま会,こぐま会,和名法人らしき,,,,,,,,,,不明,,
LIXIL,LIXIL,英字ブランド,,,,,,,,,,不明,,
PDP,PDP,英字ブランド,,,,,,,,,,不明,,
suptronics,suptronics,英字ブランド,,,,,,,,,,不明,,
Butterfly,Butterfly,英字ブランド,,,,,,,,,,不明,,
Pearson Education,Pearson Education,英字ブランド,,,,,,,,,,不明,,
メディコム・トイ(MEDICOM TOY),メディコム・トイ,和名法人らしき,株式会社メディコム・トイ,,〒151-0064 東京都渋谷区上原3-22-5,https://www.medicomtoy.co.jp/,03-3460-3933,https://contact.medicomtoy.co.jp/,,Exa検索(エージェント取得),https://www.medicomtoy.co.jp/company/ ; https://contact.medicomtoy.co.jp/,確定,[Exa検索(エージェント取得)] サポート窓口の電話は 03-3460-7555（別番号）。会社概要の代表TELは 03-3460-3933。メールは mct.recruit@medicomtoy.co.jp のみ見つかったが**採用専用のため不採用**。法人番号は未取得 / Exa取得日:2026-09-04,MEDICOM TOY
メロリン,メロリン,和名法人らしき,,,,,,,,,,不明,,
Audio Technica(オーディオテクニカ),Audio Technica,和名法人らしき,,,,,,,,,,不明,,オーディオテクニカ
STUDIOCANAL,STUDIOCANAL,英字ブランド,,,,,,,,,,不明,,
タイトー,タイトー,和名法人らしき,,,,,,,,,,不明,,
NGK,NGK,英字ブランド,,,,,,,,,,不明,,
安永,安永,和名法人らしき,,,,,,,,,,不明,,
株式会社,株式会社,ノーブランド・個人らしき,,,,,,,,,,不明,,
LEGACY RECORDINGS,LEGACY RECORDINGS,英字ブランド,,,,,,,,,,不明,,
ドウシシャ(DOSHISHA),ドウシシャ,和名法人らしき,,,,,,,,,,不明,,DOSHISHA
MEDICOM TOY,MEDICOM TOY,英字ブランド,株式会社メディコム・トイ,,〒151-0064 東京都渋谷区上原3-22-5,https://www.medicomtoy.co.jp/,03-3460-3933,https://contact.medicomtoy.co.jp/,,Exa検索(エージェント取得),https://www.medicomtoy.co.jp/company/ ; https://contact.medicomtoy.co.jp/,確定,[Exa検索(エージェント取得)] サポート窓口の電話は 03-3460-7555（別番号）。会社概要の代表TELは 03-3460-3933。メールは mct.recruit@medicomtoy.co.jp のみ見つかったが**採用専用のため不採用**。法人番号は未取得 / Exa取得日:2026-09-04,
Omron,Omron,英字ブランド,,,,,,,,,,不明,,
"KEIYO ENGINEERING CO.,LTD.","KEIYO ENGINEERING CO.,LTD.",海外法人,,,,,,,,,,不明,,
STSEETOP,STSEETOP,英字ブランド,,,,,,,,,,不明,,
ナトコ,ナトコ,和名法人らしき,,,,,,,,,,不明,,
ヤマハ(YAMAHA),ヤマハ,和名法人らしき,,,,,,,,,,不明,,YAMAHA
JELLY JELLY GAMES,JELLY JELLY GAMES,英字ブランド,,,,,,,,,,不明,,
ユーブロック,ユーブロック,和名法人らしき,,,,,,,,,,不明,,
地域開発研究所,地域開発研究所,和名法人らしき,,,,,,,,,,不明,,
フロムソフトウェア,フロムソフトウェア,和名法人らしき,,,,,,,,,,不明,,
JLab,JLab,英字ブランド,,,,,,,,,,不明,,
トイコー(Toyco),トイコー,和名法人らしき,,,,,,,,,,不明,,Toyco
Taishita,Taishita,英字ブランド,,,,,,,,,,不明,,
株式会社ストームレーベルズ,株式会社ストームレーベルズ,和名法人らしき,,,,,,,,,,不明,,
LEONINE,LEONINE,英字ブランド,,,,,,,,,,不明,,
Funimation,Funimation,英字ブランド,,,,,,,,,,不明,,
ATLANTIC RECORDS,ATLANTIC RECORDS,英字ブランド,,,,,,,,,,不明,,
城東テクノ,城東テクノ,和名法人らしき,,,,,,,,,,不明,,
シャープ(SHARP),シャープ,和名法人らしき,,,,,,,,,,不明,,SHARP
ビクター(VICTOR),ビクター,和名法人らしき,,,,,,,,,,不明,,VICTOR
SSYFEI,SSYFEI,英字ブランド,,,,,,,,,,不明,,
ブリヂストン(BRIDGESTONE),ブリヂストン,和名法人らしき,,,,,,,,,,不明,,BRIDGESTONE
Earth Plus,Earth Plus,英字ブランド,,,,,,,,,,不明,,
デビフ,デビフ,和名法人らしき,,,,,,,,,,不明,,
ジョブカン Desktop,ジョブカン Desktop,和名法人らしき,,,,,,,,,,不明,,ジョブカン | Desktop
白泉社,白泉社,和名法人らしき,,,,,,,,,,不明,,
MGM (Video & DVD),MGM,英字ブランド,,,,,,,,,,不明,,Video & DVD
CME,CME,英字ブランド,,,,,,,,,,不明,,
phiten(ファイテン),phiten,和名法人らしき,,,,,,,,,,不明,,ファイテン
METRO GOLDWYN MAYER,METRO GOLDWYN MAYER,英字ブランド,,,,,,,,,,不明,,
simplism,simplism,英字ブランド,,,,,,,,,,不明,,
円谷プロダクション(Tsuburaya),円谷プロダクション,和名法人らしき,,,,,,,,,,不明,,Tsuburaya
和平フレイズ(Wahei freiz),和平フレイズ,和名法人らしき,,,,,,,,,,不明,,Wahei freiz
ネットステージ,ネットステージ,和名法人らしき,,,,,,,,,,不明,,
Anchor Canada,Anchor Canada,英字ブランド,,,,,,,,,,不明,,
日本コロムビア,日本コロムビア,和名法人らしき,,,,,,,,,,不明,,
Blue Note,Blue Note,英字ブランド,,,,,,,,,,不明,,
