社,ASIN,商品名,brand,親子,親ASIN,ルートカテゴリ,ランク本体_現在,ランク本体_30日平均,Amazon公表月販_下限,月販の層,月販推定,月販上限,新品オファー数_COUNT_NEW,Amazon本体,取り分_個月,取り分上限_個月,足切り_10点_1_8ヶ月,足切り_上限でも,価格,価格の出所,取り分月商,倍率_対3万,倍率上限,備考
池本刷子工業,B0D2573DF5,池本刷子工業 バド(bud) 静電気除去 セットコーム BD655 日本,池本刷子工業(Ikemoto Brush),子（親 B0GXV6XN5W）,B0GXV6XN5W,ビューティー,7187,7435,200,実測(Amazon公表・階級下限),200.0,200.0,17,あり,11.11,11.11,○,○,517,"現在新品価格(NEW, 着地価格)",5744,0.19,0.19,
池本刷子工業,B000FP447U,池本刷子工業(Ikemoto Brush) ヘアブラシ イオンクッション,池本刷子工業(Ikemoto Brush),単体,,ビューティー,10036,15646,200,実測(Amazon公表・階級下限),200.0,200.0,3,あり,50.0,50.0,○,○,360,"現在新品価格(NEW, 着地価格)",18000,0.6,0.6,
池本刷子工業,B001UMV1QO,池本刷子工業 GRAND IKEMOTO 毛玉取りブラシ IKC-312,池本刷子工業(Ikemoto Brush),子（親 B09DSJ59WX）,B09DSJ59WX,ドラッグストア,12563,20754,,推定(公表なし→0〜49の中央),24.5,49.0,11,あり,2.04,4.08,×,×,3050,"現在新品価格(NEW, 着地価格)",6227,0.21,0.42,
池本刷子工業,B0013IGK9S,池本刷子工業(Ikemoto Brush) GRAND IKEMOTO ,池本刷子工業(Ikemoto Brush),子（親 B09DSJ59WX）,B09DSJ59WX,ドラッグストア,12563,20753,,推定(公表なし→0〜49の中央),24.5,49.0,13,あり,1.75,3.5,×,×,4478,"現在新品価格(NEW, 着地価格)",7836,0.26,0.52,
池本刷子工業,B0013IEEOG,池本刷子工業 GRAND IKEMOTO 静電除去服ブラシ Sサイズ I,池本刷子工業(Ikemoto Brush),子（親 B09DSJ59WX）,B09DSJ59WX,ドラッグストア,12563,20902,50,実測(Amazon公表・階級下限),50.0,50.0,13,あり,3.57,3.57,×,×,2105,"現在新品価格(NEW, 着地価格)",7518,0.25,0.25,
池本刷子工業,B002OPMLS8,池本刷子工業(Ikemoto Brush) 洋服ブラシ・毛玉取りブラシセ,池本刷子工業(Ikemoto Brush),子（親 B09DSJ59WX）,B09DSJ59WX,ドラッグストア,12567,20646,,推定(公表なし→0〜49の中央),24.5,49.0,8,あり,2.72,5.44,×,×,6800,"現在新品価格(NEW, 着地価格)",18511,0.62,1.23,
池本刷子工業,B00H2U11XG,池本刷子工業(Ikemoto Brush) 野球 ユニフォーム用 洗濯 ,池本刷子工業(Ikemoto Brush),単体,,スポーツ＆アウトドア,12885,11092,50,実測(Amazon公表・階級下限),50.0,50.0,6,あり,7.14,7.14,○,○,729,"現在新品価格(NEW, 着地価格)",5207,0.17,0.17,
池本刷子工業,B0G9HP9PRD,イケモト(ikemoto) ボールクリーナーブラシ 軟式球専用 白球ボー,池本刷子工業(Ikemoto Brush),子（親 B0GGMXPSC6）,B0GGMXPSC6,スポーツ＆アウトドア,15063,7450,,推定(公表なし→0〜49の中央),24.5,49.0,0,なし,24.5,49.0,○,○,3039,avg365 NEW（現在オファーなし）,74456,2.48,4.96,現在新品オファーなし
木内籐材工業,B0C135PF5Z,正座椅子＆おもてな紙セット 籐 とう ラタン 天然素材 正座 せいざ 畳,ノーブランド品,単体,,ホーム＆キッチン,114366,503468,,推定(公表なし→0〜49の中央),24.5,49.0,1,なし,12.25,24.5,○,○,25300,"現在新品価格(NEW, 着地価格)",309925,10.33,20.66,
朝倉染布,B097MD6YSF,朝倉染布 超撥水風呂敷ながれ 平織 星空 約96×96cm,朝倉染布,単体,,ホーム＆キッチン,40326,64908,,推定(公表なし→0〜49の中央),24.5,49.0,2,あり,8.17,16.33,○,○,3900,"現在新品価格(NEW, 着地価格)",31850,1.06,2.12,
朝倉染布,B09ZNX2ZJK,朝倉染布 超撥水風呂敷ながれ 夜の森でつつむ(平織96cm) 約96×9,朝倉染布,単体,,ホーム＆キッチン,48884,88471,,推定(公表なし→0〜49の中央),24.5,49.0,1,あり,12.25,24.5,○,○,3244,"現在新品価格(NEW, 着地価格)",39739,1.32,2.65,
朝倉染布,B0CMP6V3C2,朝倉染布 超撥水風呂敷 ながれ 平織 デイジー,朝倉染布,単体,,ホーム＆キッチン,59081,89066,,推定(公表なし→0〜49の中央),24.5,49.0,1,あり,12.25,24.5,○,○,3235,"現在新品価格(NEW, 着地価格)",39629,1.32,2.64,
朝倉染布,B0D4298P9C,朝倉染布 超撥水風呂敷 ながれ 平織 物ノ怪ナイト,朝倉染布,単体,,ホーム＆キッチン,51407,91464,,推定(公表なし→0〜49の中央),24.5,49.0,1,あり,12.25,24.5,○,○,3259,"現在新品価格(NEW, 着地価格)",39923,1.33,2.66,
朝倉染布,B0F4R8JHVL,朝倉染布 超撥水風呂敷 ながれ 平織 うさぎとクローバー,朝倉染布,単体,,ホーム＆キッチン,80998,130707,,推定(公表なし→0〜49の中央),24.5,49.0,1,あり,12.25,24.5,○,○,3645,"現在新品価格(NEW, 着地価格)",44651,1.49,2.98,
朝倉染布,B078C5X3XS,朝倉染布 風呂敷 - 約96×96cm 朝倉染布 超撥水風呂敷ながれ 平,朝倉染布,単体,,ホーム＆キッチン,88994,343613,,推定(公表なし→0〜49の中央),24.5,49.0,4,あり,4.9,9.8,×,○,3500,"現在新品価格(NEW, 着地価格)",17150,0.57,1.14,
朝倉染布,B0784WFQ1M,朝倉染布 風呂敷 - 約96×96cm 朝倉染布 超撥水風呂敷ながれ 平,朝倉染布,単体,,ホーム＆キッチン,97172,131879,,推定(公表なし→0〜49の中央),24.5,49.0,2,あり,8.17,16.33,○,○,4290,"現在新品価格(NEW, 着地価格)",35035,1.17,2.34,
朝倉染布,B077T6BT3J,朝倉染布 風呂敷 - 約96×96cm 朝倉染布 超撥水風呂敷ながれ 平,朝倉染布,単体,,ホーム＆キッチン,139478,256853,,推定(公表なし→0〜49の中央),24.5,49.0,3,あり,6.12,12.25,○,○,3857,"現在新品価格(NEW, 着地価格)",23624,0.79,1.57,
朝倉染布,B0GY2MJ7FF,朝倉染布 超撥水風呂敷 ながれ 平織 流水桜,朝倉染布,単体,,ホーム＆キッチン,245216,665927,,推定(公表なし→0〜49の中央),24.5,49.0,1,あり,12.25,24.5,○,○,4423,"現在新品価格(NEW, 着地価格)",54182,1.81,3.61,
朝倉染布,B0FVV135F4,朝倉染布 超撥水風呂敷 ながれ 平織 マリンボーダー(70)（平織70c,朝倉染布,単体,,ホーム＆キッチン,160930,190377,,推定(公表なし→0〜49の中央),24.5,49.0,1,あり,12.25,24.5,○,○,2910,"現在新品価格(NEW, 着地価格)",35648,1.19,2.38,
河野製紙,B0818HGM1F,河野製紙 こどもだって保湿ペーパー 6P ×３セット ポケットティッシュ,河野製紙,単体,,ドラッグストア,17059,26599,100,実測(Amazon公表・階級下限),100.0,100.0,13,なし,7.14,7.14,○,○,598,"現在新品価格(NEW, 着地価格)",4271,0.14,0.14,
河野製紙,B018XEPX74,河野製紙 ピーエイドシルク保湿トイレット 4ロール×4パック （35mダ,河野製紙,単体,,ドラッグストア,20866,16928,100,実測(Amazon公表・階級下限),100.0,100.0,2,なし,33.33,33.33,○,○,2280,"現在新品価格(NEW, 着地価格)",76000,2.53,2.53,
河野製紙,B086L63R1D,水に流せる ティッシュ ３枚重ね 360枚(120組)3箱 × 3セット,河野製紙,子（親 B0CYXR4T7P）,B0CYXR4T7P,ドラッグストア,21543,24428,50,実測(Amazon公表・階級下限),50.0,50.0,4,なし,10.0,10.0,○,○,2298,"現在新品価格(NEW, 着地価格)",22980,0.77,0.77,
河野製紙,B083JPRZK6,河野製紙 水に流せる ティッシュ ３枚重ね 360枚(120組) 6箱セ,河野製紙,子（親 B0CYXR4T7P）,B0CYXR4T7P,ドラッグストア,21543,24267,,推定(公表なし→0〜49の中央),24.5,49.0,3,なし,6.12,12.25,○,○,1760,"現在新品価格(NEW, 着地価格)",10780,0.36,0.72,
河野製紙,B0FB7GYLXN,河野製紙 FULL BLOOM COLLECTION プレミアムシャワー,河野製紙,単体,,ドラッグストア,18752,19362,100,実測(Amazon公表・階級下限),100.0,100.0,1,なし,50.0,50.0,○,○,2310,"現在新品価格(NEW, 着地価格)",115500,3.85,3.85,
河野製紙,B0GQY7X9Z9,河野製紙 ギフトセット ティッシュの宝箱 5箱＋4ロール入り 2パック,河野製紙,単体,,ドラッグストア,37249,58849,,推定(公表なし→0〜49の中央),24.5,49.0,1,なし,12.25,24.5,○,○,3080,"現在新品価格(NEW, 着地価格)",37730,1.26,2.52,
河野製紙,B0B5YSMG94,河野製紙 絹雲BOXティシュ130組×3個パック,河野製紙,単体,,ドラッグストア,37078,69687,,推定(公表なし→0〜49の中央),24.5,49.0,2,なし,8.17,16.33,○,○,1333,"現在新品価格(NEW, 着地価格)",10886,0.36,0.73,
河野製紙,B0BDCNXX1J,河野製紙 ちいかわ 水に流せる ポケットティシュ 9コパック入 5デザイ,河野製紙,単体,,ビューティー,43529,108529,,推定(公表なし→0〜49の中央),24.5,49.0,11,なし,2.04,4.08,×,×,479,"現在新品価格(NEW, 着地価格)",978,0.03,0.07,
河野製紙,B0BFPHGD6H,【日本製】ふっくらやわらか３枚重ね水に流せるソフトパックティシュ しっか,河野製紙,単体,,ドラッグストア,49461,53198,,推定(公表なし→0〜49の中央),24.5,49.0,5,なし,4.08,8.17,×,○,1050,"現在新品価格(NEW, 着地価格)",4288,0.14,0.29,
河野製紙,B001OGJV90,保湿ペーパー NEWアヴォンリー・キース ポケット(2枚重ね10組)*1,河野製紙,単体,,ドラッグストア,60560,82511,,推定(公表なし→0〜49の中央),24.5,49.0,2,なし,8.17,16.33,○,○,1200,"現在新品価格(NEW, 着地価格)",9800,0.33,0.65,
小野甚味噌醤油醸造,B0DK8ST2WC,小野甚味噌醤油醸造 小野甚醤油味比べ 100ml×4種セット (たまごむ,小野甚味噌醤油醸造,単体,,食品・飲料・お酒,757404,753086,,推定(公表なし→0〜49の中央),24.5,49.0,0,なし,24.5,49.0,○,○,,価格なし,,,,現在新品オファーなし
小野甚味噌醤油醸造,B0DW3X7CLR,小野甚味噌醤油醸造 米糀100％あま酒1ヶ月セット（30個）,小野甚味噌醤油醸造,子（親 B0H1QQJFZM）,B0H1QQJFZM,食品・飲料・お酒,785550,781048,,推定(公表なし→0〜49の中央),24.5,49.0,0,なし,24.5,49.0,○,○,,価格なし,,,,現在新品オファーなし
小野甚味噌醤油醸造,B0DW3YSF7W,小野甚味噌醤油醸造 米糀100％あま酒 お試しセット 3本 160g ノ,小野甚味噌醤油醸造,子（親 B0H1QQJFZM）,B0H1QQJFZM,食品・飲料・お酒,785550,781379,,推定(公表なし→0〜49の中央),24.5,49.0,0,なし,24.5,49.0,○,○,,価格なし,,,,現在新品オファーなし
小野甚味噌醤油醸造,B0DW3JQRS2,小野甚味噌醤油醸造 米糀100％あま酒2週間セット（14個）,小野甚味噌醤油醸造,子（親 B0H1QQJFZM）,B0H1QQJFZM,食品・飲料・お酒,785550,714925,,推定(公表なし→0〜49の中央),24.5,49.0,0,なし,24.5,49.0,○,○,,価格なし,,,,現在新品オファーなし
田中帽子店,B01MUHQVEL,(田中帽子店)鬼麦カンカン帽（紳士用） 60cm（Lサイズ） ホワイト ,田中帽子店,子（親 B01E6GCV0K）,B01E6GCV0K,ファッション,85621,37946,,推定(公表なし→0〜49の中央),24.5,49.0,0,なし,24.5,49.0,○,○,,価格なし,,,,現在新品オファーなし
田中帽子店,B0BJV1ZQCL,(田中帽子) ノア 日本製 麦わら 中折れ ハット / 9-10mm (,田中帽子店,子（親 B00U5U5GLI）,B00U5U5GLI,ファッション,80306,47664,,推定(公表なし→0〜49の中央),24.5,49.0,1,なし,12.25,24.5,○,○,8690,"現在新品価格(NEW, 着地価格)",106452,3.55,7.1,
田中帽子店,B0083RSM1Q,(田中帽子) ノア 日本製 麦わら 中折れ ハット / 9-10mm (,田中帽子店,子（親 B00U5U5GLI）,B00U5U5GLI,ファッション,80306,45236,,推定(公表なし→0〜49の中央),24.5,49.0,4,なし,4.9,9.8,×,○,7700,"現在新品価格(NEW, 着地価格)",37730,1.26,2.52,
田中帽子店,B07KY5YZTJ,(田中帽子) ノア 日本製 麦わら 中折れ ハット / 9-10mm (,田中帽子店,子（親 B00U5U5GLI）,B00U5U5GLI,ファッション,80306,38962,,推定(公表なし→0〜49の中央),24.5,49.0,0,なし,24.5,49.0,○,○,7898,avg90 NEW（現在オファーなし）,193501,6.45,12.9,現在新品オファーなし
田中帽子店,B0083RSM2K,(田中帽子) ノア 日本製 麦わら 中折れ ハット / 9-10mm (,田中帽子店,子（親 B00U5U5GLI）,B00U5U5GLI,ファッション,80306,42485,,推定(公表なし→0〜49の中央),24.5,49.0,5,なし,4.08,8.17,×,○,7700,"現在新品価格(NEW, 着地価格)",31442,1.05,2.1,
田中帽子店,B0083RSM16,(田中帽子) ノア 日本製 麦わら 中折れ ハット / 9-10mm (,田中帽子店,子（親 B00U5U5GLI）,B00U5U5GLI,ファッション,80299,46211,,推定(公表なし→0〜49の中央),24.5,49.0,5,なし,4.08,8.17,×,○,7700,"現在新品価格(NEW, 着地価格)",31442,1.05,2.1,
田中帽子店,B00U6RJGSO,(田中帽子) ノア 日本製 麦わら 中折れ ハット / 9-10mm (,田中帽子店,子（親 B00U5U5GLI）,B00U5U5GLI,ファッション,80299,43994,,推定(公表なし→0〜49の中央),24.5,49.0,1,なし,12.25,24.5,○,○,8690,"現在新品価格(NEW, 着地価格)",106452,3.55,7.1,
田中帽子店,B0083RSM4I,(田中帽子) ノア 日本製 麦わら 中折れ ハット / 9-10mm (,田中帽子店,子（親 B00U5U5GLI）,B00U5U5GLI,ファッション,80299,46308,,推定(公表なし→0〜49の中央),24.5,49.0,5,なし,4.08,8.17,×,○,7700,"現在新品価格(NEW, 着地価格)",31442,1.05,2.1,
田中帽子店,B07KY5WH7H,(田中帽子) ノア 日本製 麦わら 中折れ ハット / 9-10mm (,田中帽子店,子（親 B00U5U5GLI）,B00U5U5GLI,ファッション,80299,44593,,推定(公表なし→0〜49の中央),24.5,49.0,3,なし,6.12,12.25,○,○,7700,"現在新品価格(NEW, 着地価格)",47162,1.57,3.14,
田中帽子店,B0083RSM20,(田中帽子) ノア 日本製 麦わら 中折れ ハット / 9-10mm (,田中帽子店,子（親 B00U5U5GLI）,B00U5U5GLI,ファッション,80306,43920,,推定(公表なし→0〜49の中央),24.5,49.0,4,なし,4.9,9.8,×,○,7700,"現在新品価格(NEW, 着地価格)",37730,1.26,2.52,
