# 【打診文の絶対条件・法務判定 v1.0】メール本文・署名にURLを一切貼らないこと（AmazonストアURL・自社サイト satoy-select.com・SNS すべて）。貼った瞬間に特定電子メール法2条2号の『広告宣伝ウェブサイトへの誘導』に該当し、相手の『営業お断り』表示が法的効力を持つ。白が黒に転ぶ唯一の分岐点。 ／ 1社1通・追送しない・断られたら即終了・一斉送信ツール禁止・実績ゼロを正直に書く。 ／ optout_class が D・E の社には打診しない。C は A/A_PLUS/B を全件消化した後・フォームのみ・1回限り。
順位,スコア,メーカー名,optout_class,contact_priority,action,allowed_channels,optout_hit_terms,optout_rule_ids,form_optout_notice,optout_source_url,optout_checked_at,recheck_condition,optout_needs_review,正式商号,法人番号,所在地,公式HP,電話,問い合わせフォームURL,メール,確度,取引可否シグナル,備考,出典URL,該当商品数,主なカテゴリ,想定仕入れ金額の中央値,Amazon価格の中央値,代表商品名
30,0.6587,旭化成ワッカーシリコン,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.aws-silicone.com/,2026-09-04,,,"旭化成ワッカーシリコーン株式会社（Wacker Asahikasei Silicone Co.,Ltd.）",,〒101-0047 東京都千代田区内神田1-16-8 内神田ミッドスクエア7F（本社）／〒300-4522 茨城県筑西市向上野1500-3 つくば明野工業団地（つくば事業所）,https://www.aws-silicone.com/,,https://www.aws-silicone.com/contact/,,確定,対象外(大手/流通構造),旭化成50%・独ワッカーケミー50%の合弁（1999年設立・資本金10.5億円・従業員160名）。★電話は公式サイトに記載がなく空欄。連絡はフォームのみ。製品は工業用シリコーンで、**大手化学メーカーであり初回小ロットの直取引の相手ではない**,https://www.aws-silicone.com/company/business/ ; https://www.aws-silicone.com/contact/,1,ホビー,1836,4070,旭化成ワッカーシリコン M4470 1kg 硬化剤セット 型取りシリコン
31,0.6564,日本のオラクルカード・タロットカード全集,A,2,contact,"[""form"", ""mail"", ""phone""]",,,主な事業内容 ・カード出版制作事業・カード販売事業・カード文化の振興事業・カードの講座・セミナー事業・ライセンス管理事業・メディア・B2B支援事業,http://company.visionary-c.com/ja/company/,2026-09-04,,,"株式会社ヴィジョナリー・カンパニー（Visionary Company Co., Ltd.）",,〒111-0052 東京都台東区柳橋1-30-5 ドヌール柳橋弐番館2F,http://company.visionary-c.com/,03-6380-5550,https://card.visionary-c.com/company/,,確定,有望(小ロット/OEM/B2Bの明示あり),"★★最有力級。2001年設立・資本金1,000万円。事業内容に『カード出版制作事業』『**ライセンス管理事業**』『**メディア・B2B支援事業**』を明記。英語版会社概要には『**A wholesale site specializing in cards（カード専門の卸サイト）**』『**Creating & Producing original cards（オリジナルカードの制作・製造）**』とあり、**卸とOEMの両方を自ら公開している**。古物商許可 第304381606825号（東京都公安委員会）。営業10:00-18:00 土日祝休。出典に特定商取引法に基づく表記を含む",http://company.visionary-c.com/ja/company/ ; https://card.visionary-c.com/company/,1,おもちゃ,1495,3300,しろふわくんのしあわせ運ぶオラクルカード ｜ enoko ｜ カード36枚 日本語解説紙付き【正規品】
32,0.6478,ストレッチングボード,A,2,contact,"[""form"", ""mail"", ""phone""]",,,事業内容 3．各種家庭用雑貨・健康器具等、卸販売,https://www.asahi-healthy.com/contents/company.htm,2026-09-04,,,株式会社アサヒ,,〒500-8236 岐阜県岐阜市手力町12番6号,https://www.asahi-healthy.com/,058-245-2894,,shopmaster@asahi-healthy.com,確定,有望(小ロット/OEM/B2Bの明示あり),★★本丸候補。昭和36年『アサヒ鋳造』として創設、資本金200万円の小規模メーカー。昭和56年に『ストレッチングボード』を自社開発し**日本・米国・中国で特許取得**、40年以上のロングセラー。事業内容に『**各種家庭用雑貨・健康器具等、卸販売**』を明記＝卸取引あり。主要取引先にエバニュー・カナケン・トーエイライト等の卸。電話 9:00-17:15、メール公開,https://www.asahi-healthy.com/contents/company.htm ; https://www.asahi-healthy.com/,1,スポーツ＆アウトドア,4556,9900,【純国産】ストレッチボード アサヒ ストレッチングボード足首ストレッチ ふくらはぎストレッチ アキレス腱伸ばし 足首を柔らかくする器具 アーチ インソール 階角度調整 耐荷重150
33,0.6422,NB(ドットサイト),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,,2026-09-04,,,,,,,,,,不明,連絡不可,**メーカー名ではない。抽出ノイズ行。** 『NB』はエアソフト業界の通販サイトで『**ノンブランド／その他**』を表す表記であり、企業名ではない（複数ショップで同じ用法を確認）。実際の製品は海外製のTrijicon RMRタイプ**レプリカ**で、輸入業者が各自買い付けている。★★**加えてエアソフト用品（ドットサイト等）はAmazonの出品規制・知的財産（Trijiconのレプリカ）両面でリスクが高い**。仕入れ候補から外すことを推奨,https://www.gtsfbc.jp/products/detail.php?product_id=2248,1,ホビー,1673,3599,RMR タイプ コンパクトドットサイト グロック用マウント付き ブラック
34,0.6288,大島屋(Ooshimaya),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://ooshima-ya.com/,2026-09-04,,,"株式会社 大島屋（OSHIMAYA Co.,Ltd.）",,〒710-0807 岡山県倉敷市西阿知町852番地（岡山本社）／〒344-0067 埼玉県春日部市中央2-5-7（関東営業所）／〒830-0416 福岡県三潴郡大木町八町牟田1514-1（九州工場営業所）,https://ooshima-ya.com/,,,,確定,連絡不可,★★本丸候補。1948年創業・1969年設立・従業員25名。花ござ発祥の地 倉敷の**い草製品メーカー（製造卸）**。『**原料の栽培や仕入れ、製品化までを一貫して行う**』『どんなニーズも形にしてきました』と自社サイトに明記＝**OEM/別注に応じる姿勢**。九州に自社工場。★電話は公式会社概要に記載がなく空欄（推測しない）。フォームURLも未特定,https://ooshima-ya.com/company/ ; https://ooshima-ya.com/,1,ホーム＆キッチン,62,1900,籐枕 約30×18×12cm
35,0.6175,フィットフィンガートレーニング,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.fft2015.com/,2026-09-04,,,グローバルアーク株式会社,,,https://www.fft2015.com/,,,,候補,連絡不可,『フロッグハンド』『FFT』は**グローバルアーク株式会社**（福岡県に本社）の開発・販売。生産国は中国。★所在地の番地・電話・メールはいずれも一次情報が見つからず空欄。公式サイト（Wix）に会社概要ページが見当たらない。楽天（globalarc2015）とAmazonに直営店あり。**社名だけ判明した状態で、連絡手段は未取得**,https://tomo.run/froghand-fft-massage ; https://www.fft2015.com/,1,スポーツ＆アウトドア,1398,2880,フロッグハンド ハードタイプ [正規品] 簡単足指トレーニング
36,0.6155,Airクリーンラボ,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,,2026-09-04,,,,,,,,,,不明,連絡不可,**取得ゼロ。** 検索でヒットしたのは『エア・クリーン株式会社』（福岡・業務用レンタル）、『株式会社サンライズコーポレーション』（AirEcoクリーン）、『株式会社ナック・エアーシステム』（大阪）で、**いずれも社名が似ているだけでブランド『Airクリーンラボ』との関係が確認できない**ため採用しなかった。一次情報なし,,1,ホーム＆キッチン,105,1980,【張る空気清浄機×5つの試験で99%】 ハウスダスト対策 エアコンフィルター 壁掛エアコン・空気清浄機用 掃除 ホコリ 換気扇 エアクリーンラボ 花粉対策 2枚入り
37,0.6151,吉田製油所,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.ysds.co.jp/,2026-09-04,,,"株式会社吉田製油所（YOSHIDA SEIYUSHO Co.,Ltd.）",,〒110-0005 東京都台東区上野3-22-8 THE PORTAL 御徒町（本社）／〒210-0862 神奈川県川崎市川崎区浮島町11-2（川崎工場）,https://www.ysds.co.jp/,03-3834-4171,,,確定,有望(小ロット/OEM/B2Bの明示あり),"★本丸候補。明治42年（1909年）創業・昭和21年設立・資本金7,000万円・従業員40人。木材防腐剤／白アリ予防駆除剤の製造販売、川崎に自社工場。日本木材保存協会・日本しろあり対策協会等に加盟。★注意：**シロアリ防除剤は農薬取締法・薬機法の確認が必要な可能性**があるため、出品前にサトルのA-4（出品可否・許認可）に回すこと",https://www.ysds.co.jp/company.html ; https://www.ipros.com/company/detail/2081677/,1,DIY・工具・ガーデン,4373,8300,白アリミケブロック業務用400ml 白蟻駆除用木部処理用乳剤
38,0.6053,Pure(ピュア),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://akiyama-pure.com/,2026-09-04,,,秋山産業株式会社,,,https://akiyama-pure.com/,,,,候補,連絡不可,『PURE ピュア』は**秋山産業株式会社**の手巻きタバコ用フィルターブランド。★所在地・電話は製品サイトから取得できず空欄。★★**重要：たばこ関連商品はAmazonの出品規制対象になり得る**（たばこ・喫煙具のカテゴリ制限）。仕入れ検討の前に**サトルのA-4（出品可否）で必ず確認すること**,https://akiyama-pure.com/ ; https://akiyama-pure.com/slims/products/slim_extreme_long_filter.html,1,ファッション,1184,3000,PURE スリム エクストリーム ロング フィルター 6mm x 30mm バリューパック600 ×４個セット 手巻き用
39,0.5952,コンチネンタル(Continental),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.mizutanibike.co.jp/,2026-09-04,,,ミズタニ自転車株式会社,,,https://www.mizutanibike.co.jp/,,,,候補,連絡不可,★**誤マッチを回避した行。** コンチネンタルは独 Continental AG（従業員20万人超）だが、**日本における自転車用タイヤの総輸入元はミズタニ自転車株式会社**。日本法人の『コンチネンタルタイヤ・ジャパン株式会社』は**自転車用タイヤに関して一切の業務を行っていない**（複数ソースで確認）ので、そちらに連絡しても話が通じない。★ミズタニ自転車の所在地・電話は今回取得できず空欄。**追加調査が必要**,https://www.mizutanibike.co.jp/brand/continental/ ; https://ja.wikipedia.org/wiki/コンチネンタルAG,1,スポーツ＆アウトドア,3548,7040,Continental(コンチネンタル) Ultra Sport 3(ウルトラスポーツ3) Black/Black 700x28C FB ロード用クリンチャータイヤ 2本セット
40,0.5947,太平洋工業,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.pacific-ind.co.jp/,2026-09-04,,,"太平洋工業株式会社（PACIFIC INDUSTRIAL CO., LTD.）",,〒503-8603 岐阜県大垣市久徳町100番地,https://www.pacific-ind.co.jp/,0584-28-0105,https://www.pacific-ind.co.jp/contact/,,確定,対象外(大手/流通構造),"**東証プライム上場・売上2,182億円・連結5,176名の自動車部品大手**。納入先はトヨタ・ホンダ・日産・BMW等の完成車メーカー。電話は『タイヤバルブ製品に関するお問い合わせ』窓口（バルブ・TPMS事業本部 営業部）で、代表は 0584-91-1111。**初回小ロットの直取引の相手ではない**",https://www.pacific-ind.co.jp/company/about/info/ ; https://www.pacific-ind.co.jp/contact/,1,車＆バイク,1682,4150,太平洋工業 チューブレスタイヤゴムバルブ 100個セット TR413CL パッキン付き 太平洋パシフィック TR-413 チューブレスタイヤ用スナップインバルブ 安心の日本製
41,0.5905,円谷プロダクション(Tsuburaya),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://m-78.jp/,2026-09-04,,,"株式会社 円谷プロダクション（Tsuburaya Productions Co., Ltd.）",,〒150-0036 東京都渋谷区南平台町16-17 渋谷ガーデンタワー,https://m-78.jp/,,,,確定,連絡不可,"1963年設立・資本金3億1,000万円。**映像制作とキャラクターライセンスの会社であり、玩具の製造元ではない**（商品は各玩具メーカーへのライセンス供与により製造される）。したがって**仕入れ先にはならない**。電話は公式サイトに記載がなく空欄",https://m-78.jp/company/outline/,2,おもちゃ,1180,3880,円谷プロダクション(Tsuburaya) ウルトラマン カードゲーム ウルトラデッキ01 ウルトラマンティガ&ウルトラマンブレーザー[UD01] 対象年齢 9 歳～
42,0.5899,Laundrin'(ランドリン),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.naturelab.co.jp/,2026-09-04,,,株式会社ネイチャーラボ,,〒150-0012 東京都渋谷区広尾1-1-39 恵比寿プライムスクエアタワー11F,https://www.naturelab.co.jp/,0120-880-337,,info@laundrin.jp,確定,連絡可,『ランドリン』は株式会社ネイチャーラボ（1997年設立）のブランド。事業内容は『商品マーケティング／流通プラットフォーム／通販プラットフォーム』で、海外グループ会社もある中堅。出典は特定商取引法に基づく表記＝一次情報。柔軟剤・芳香剤は**家庭用品品質表示法の対象**なので出品時に表示確認が要る,https://laundrin.jp/pages/特定商取引法に関する表記 ; https://www.naturelab.co.jp/company/,2,車＆バイク,315,1900,Laundrin'(ランドリン) Laundrin 車用フレグランス ブルー66 本体4個入り
43,0.5856,ワイドハイター,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.kao.com/jp/,2026-09-04,,,花王株式会社（Kao Corporation）,,〒103-8210 東京都中央区日本橋茅場町1丁目14番10号,https://www.kao.com/jp/,03-3660-7111,,,確定,対象外(大手/流通構造),"『ワイドハイター』は花王株式会社のブランド。1887年創業・資本金854億円・連結売上1兆6,886億円・連結従業員31,514人。**初回小ロットの直取引の相手ではない**（仕入れるなら卸・ドラッグストアルート）",https://www.kao.com/jp/corporate/outline/profile/ ; https://www.kao.com/jp/corporate/outline/location-list/headquarters/,1,産業・研究開発用品,312,3150,【2個セット】ハイター 詰め替え用 ワイドハイターex パワー 2500ml×2個 5.6倍 まとめ買い 衣類用漂白剤 酸素系漂白剤 漂白剤 衣類 つけおき洗い 除菌 抗菌 消毒 
44,0.5854,ブリヂストン(BRIDGESTONE),A,2,contact,"[""form"", ""mail"", ""phone""]",,,※ こちらのフリーダイヤルは、一般のお客様専用です。お取引先様からのお問い合わせに関しましては、担当部門へお問い合わせください。,https://jp.golf.bridgestone/callcenter/contact,2026-09-04,,true,"ブリヂストンスポーツ株式会社（Bridgestone Sports Co., Ltd.）",,〒104-8340 東京都中央区京橋三丁目1番1号,https://sports.bridgestone/,045-330-1550,https://jp.golf.bridgestone/callcenter/contact,,確定,対象外(大手/流通構造),ゴルフボールの製造販売はブリヂストン本体ではなく**ブリヂストンスポーツ株式会社**（1972年設立・資本金30億円）。★『**こちらのフリーダイヤルは一般のお客様専用です。お取引先様からのお問い合わせに関しましては、担当部門へお問い合わせください**』と明記＝**公開の窓口は取引用ではない**。取引には担当部門の特定が別途必要。大手のため直取引は現実的でない,https://sports.bridgestone/corporate/01 ; https://jp.golf.bridgestone/callcenter/contact,2,スポーツ＆アウトドア,1234,3980,BRIDGESTONE(ブリヂストン)ゴルフボール SUPER STRAIGHT 2023年モデル 12球入 イエロー
45,0.5797,ハピラ(Hapila),A_PLUS,1,contact,"[""form"", ""mail"", ""phone""]",OEM,A1_trade_window,事業内容 輸入文具・生活用品等の企画、卸販売、OEM,https://www.hpl.co.jp/company/,2026-09-04,,,株式会社ハピラ,,〒103-0004 東京都中央区東日本橋2-8-3 JMFビル東日本橋01 8階,https://www.hpl.co.jp/,,https://www.hpl.co.jp/contact/,,確定,有望(小ロット/OEM/B2Bの明示あり),★★最有力級。自ら『**文具事務用品・推し活グッズ・生活雑貨の卸売メーカー**』と名乗り、事業内容は『輸入文具・生活用品等の**企画、卸販売、OEM**』。旧商号は株式会社スガタ（オリジナル文具の企画・卸販売として東京都台東区で創業）。茨城県つくば市に物流拠点。★電話番号は公式サイトに記載がなくFAX 03-3865-0134 のみのため空欄。**連絡はフォーム**,https://www.hpl.co.jp/company/ ; https://www.hpl.co.jp/contact/,1,文房具・オフィス用品,207,1915,ハピラ 色紙ファイル 20ポケット 大容量 20枚収納 ケース付き 色紙収納 クリアファイル ポケットファイル 大色紙用 オフホワイト PF001
46,0.5759,AZ(エーゼット),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.az-oil.jp/,2026-09-04,,,株式会社エーゼット,,〒538-0031 大阪市鶴見区茨田大宮1丁目7番59号,https://www.az-oil.jp/,06-6911-0070,,az-info@az-oil.jp,確定,有望(小ロット/OEM/B2Bの明示あり),★本丸候補。創業1955年の潤滑油・ケミカル・洗浄剤メーカー。メールは公式が『商品に関するお問い合わせはメール（az-info@az-oil.jp）でお願いします』と案内している正規窓口。★電話受付は**平日10:00〜正午のみ**と短いので、実務上はメール推奨。出典に特定商取引法に基づく表記を含む,https://www.az-oil.jp/view/company ; https://www.az-oil.jp/view/contract,1,DIY・工具・ガーデン,473,4150,AZ(エーゼット) 25:1 混合燃料 青 4L 刈払機などの燃料(FG015)
47,0.573,PKBジャパン,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.pkb.co.jp/,2026-09-04,,,有限会社PKBジャパン,,〒536-0024 大阪市城東区中浜3丁目16-22-102,https://www.pkb.co.jp/,06-6965-2986,,,確定,連絡可,"米国 Pet King Brands, Inc. の**日本総輸入販売元**（2005年創業）。ZYMOX / Oratene シリーズを扱う。取引先は全国の動物病院・シグマ商事・森乳サンワールド等の**卸**＝流通は動物病院ルートが主。★注意：**動物用ケア商品のため、出品前に薬機法・動物用医薬品の区分確認が必要**（サトルのA-4案件）。★公式サイトが文字化けした状態で配信されており、所在地・電話は楽天の商品ページ（広告主表示）と突き合わせて一致を確認した",https://www.pkb.co.jp/company/index.html ; https://item.rakuten.co.jp/ant-pack/dc20-994/,1,ペット用品,2717,5200,PKBジャパン オーラティーン デンタルジェル 犬猫用 28g×2セット
48,0.5651,パワーブリーズ(POWER BREATHE),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.entry-shop.com/,2026-09-04,,,株式会社エントリージャパン（Entry Japan K.K.）,,〒160-0022 東京都新宿区新宿1丁目26-6 新宿加藤ビル3階,https://www.entry-shop.com/,03-5362-3383,,entry-shop@entry-japan.com,確定,有望(小ロット/OEM/B2Bの明示あり),"★本丸候補。2001年設立・資本金1,000万円。**海外ヘルスケア製品の輸入販売と市場参入コンサル**が事業内容＝**輸入商社型で取引の話が通じる型**。POWERbreathe のほか Putty Buddies / COMPLY 等を扱う。★**第三種医療機器製造販売業の許認可を保有**＝製品が医療機器区分の可能性があり、**出品前に薬機法の確認が必要**（サトルのA-4案件）。出典に特定商取引法に基づく表記を含む",https://www.entry-shop.com/hpgen/HPB/entries/5.html ; https://www.entry-shop.com/hpgen/HPB/shop/business.html,1,スポーツ＆アウトドア,4761,8999,パワーブリーズ POWERbreathe PLUS 呼吸筋トレーニング器具 パワーブリーズプラス Medium Resistance 重負荷 ブルー BLUE [並行輸入品]
49,0.5644,セメダイン(Cemedine),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.cemedine.co.jp/,2026-09-04,,,"セメダイン株式会社（CEMEDINE CO., LTD.）",,〒141-8620 東京都品川区大崎1-11-2 ゲートシティ大崎イーストタワー,https://www.cemedine.co.jp/,03-6421-7411,,,確定,対象外(大手/流通構造),"大正12年創業・昭和23年設立・資本金30億5,037万円・従業員366名の接着剤大手。茨城県古河市に工場。**規模的に初回小ロットの直取引の相手ではない**（仕入れるなら卸・ホームセンタールート）",https://www.cemedine.co.jp/company/information.html ; https://www.cemedine.co.jp/company/location.html,1,産業・研究開発用品,731,5550,セメダイン ゴム系ラテックス形 接着剤 クッションフロアー用 Cl7N 3kg lX-122
50,0.5627,YouTen(ユーテン),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.youten.jp/,2026-09-04,,,株式会社 オールマーケットジャパン,,〒374-0033 群馬県館林市堀工町1900番地107 オフィス202,https://www.youten.jp/,0276-55-0588,,amj@w.email.ne.jp,確定,連絡可,『YouTen（ユーテン）』は株式会社オールマーケットジャパンのショップ名。フィットネス用品・アウトドア用品を展開。営業 10:00-17:00（土日祝除く）。★メールがプロバイダ系アドレス（w.email.ne.jp）で、規模は小さい。出典は自社サイトの会社概要（特商法表記に相当）,https://www.youten.jp/view/company ; https://www.youten.jp/html/page1.html,1,スポーツ＆アウトドア,3335,6280,【アワード受賞・人気ブランド】 YouTen（ユーテン）ディップススタンド 耐荷重200kg 折りたたみ ディップスマシン ディップスバー 懸垂 チンニング トレーニング 運動器具
