# 【打診文の絶対条件・法務判定 v1.0】メール本文・署名にURLを一切貼らないこと（AmazonストアURL・自社サイト satoy-select.com・SNS すべて）。貼った瞬間に特定電子メール法2条2号の『広告宣伝ウェブサイトへの誘導』に該当し、相手の『営業お断り』表示が法的効力を持つ。白が黒に転ぶ唯一の分岐点。 ／ 1社1通・追送しない・断られたら即終了・一斉送信ツール禁止・実績ゼロを正直に書く。 ／ optout_class が D・E の社には打診しない。C は A/A_PLUS/B を全件消化した後・フォームのみ・1回限り。
順位,スコア,メーカー名,optout_class,contact_priority,action,allowed_channels,optout_hit_terms,optout_rule_ids,form_optout_notice,optout_source_url,optout_checked_at,recheck_condition,optout_e_subclass,optout_decided_by,optout_needs_review,optout_review_reason,正式商号,法人番号,所在地,公式HP,電話,問い合わせフォームURL,メール,確度,取引可否シグナル,備考,出典URL,該当商品数,主なカテゴリ,想定仕入れ金額の中央値,Amazon価格の中央値,代表商品名
30,,本間ゴルフ,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.honmagolf.com/jp,2026-09-04,,,,,,"株式会社本間ゴルフ（HONMA GOLF CO., LTD.）",,〒106-0041 東京都港区麻布台1-3-1 麻布台ヒルズ森JPタワー46階（東京本社）／酒田工場 〒998-8550 山形県酒田市宮海字中砂畑27-18,https://www.honmagolf.com/jp,0120-941-380,https://honmagolf-ec.com/jp/inquiry/,,確定,対象外(大手/流通構造),グローバル本社は上海。日本側は東京本社と酒田工場。従業員712名の上場企業で、初回小ロットの直取引の相手ではない,https://www.honmagolf.com/jp/corporate-facts ; https://honmagolf-ec.com/jp/inquiry/,4,スポーツ＆アウトドア,876,4330,ホンマ ゴルフ ボール TW-X TW-S 2024年モデル 1ダース 12球入り ホワイト イエロー 3ピース ツアー系 スピン 飛距離 ディスタンス ソフト ゴルフボール TO
31,,詰め替えそのまま,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://sanki-ota.com/,2026-09-04,,,,,,株式会社三輝,,〒144-0032 東京都大田区北糀谷1-20-8 三輝ビル,https://sanki-ota.com/,03-3742-2345,https://sanki-ota.com/contact,info@sanki-web.net,確定,有望(小ロット/OEM/B2Bの明示あり),★本丸候補。1968年創業・大田区の自社工場を持つ中小メーカー。『詰め替えそのまま』は自社ブランド製品。サイトに『お問合せ / 資料請求』窓口があり、営業お断りの記載は見当たらない。メールは公式通販サイトの会社概要に公開（組織アドレス）。**初回小ロットの交渉相手として最有力**,https://www.sanki-web.net/html/company.html ; https://sanki-ota.com/contact,4,ホーム＆キッチン,884,2805,詰め替えそのまま MINI MS-6W シャンプーボトル ホワイト 3個組み
32,,Biwin,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.biwintech.com/,2026-09-04,,,,,,"BIWIN Storage Technology Co., Ltd.（深圳佰維存儲科技股份有限公司）",,"Building #4, South Zone #2, Zhongguan Honghualing Industrial Zone, Nanshan District, Shenzhen, Guangdong, China",https://www.biwintech.com/,+86-755-2671-5701,,support@biwintech.com,確定,対象外(大手/流通構造),上海証券取引所科創板 上場（688525）の中国メーカー。日本法人・日本窓口なし。**海外法人のため初回5万円の直取引相手にはならない**,https://www.biwintech.com/about/ ; https://www.biwintechnology.com/about-us/,3,パソコン・周辺機器,7081,12980,Biwin M100 1TB SSD 2.5インチ SATA III 高速550MB/s 内蔵SSD 高耐久 低消費電力 耐衝撃 PS4対応 メーカー3年保証
33,,NEW ERA(ニューエラ),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.neweracap.jp/,2026-09-04,,,,,,ニューエラジャパン合同会社,8013203001780,〒153-0051 東京都目黒区上目黒2-1-1 中目黒GTタワー18F,https://www.neweracap.jp/,03-5773-6733,,support@neweraonlinestore.jp,確定,連絡可,米ニューエラ（1920年創業）の日本法人。電話・メールの出典は特定商取引法に基づく表記＝一次情報。ただしメールはオンラインストアのサポート窓口。ブランド品のため出品時にブランドゲート・並行輸入の論点あり（サトルのA-4案件）,https://www.neweracap.jp/policies/legal-notice ; https://www.neweracap.jp/a/c/company/,3,ファッション,1876,3800,[New Era] キャップ メンズ レディース 9FORTY 帽子 MLB メジャーリーグ ベースボールキャップ ユニセックス ロゴ ブランド ニューヨーク・ヤンキース エッセン
34,,イースター株式会社,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.yeaster.co.jp/,2026-09-04,,,,,,イースター株式会社,,〒679-4132 兵庫県たつの市誉田町福田726番地（本社/関西工場）／〒885-0114 宮崎県都城市庄内町14307-2（都城工場）,https://www.yeaster.co.jp/,0791-63-2323,,,確定,連絡可,★1964年設立・自社工場2拠点（兵庫・宮崎）を持つペットフードメーカー。関東/関西/中部/九州に営業所。お客様相談室 0800-080-1122。**メールは意図的に空欄**：見つかった info@yeaster.co.jp は採用ページに『採用担当者』宛として記載されており、営業窓口ではない,https://www.yeaster.co.jp/company/ ; https://www.yeaster.co.jp/,3,ペット用品,156,1762,イースター ジリスセレクションプロ グルテンフリー 750g
35,,オスモカラー,A,2,contact,"[""form"", ""mail"", ""phone""]",,,ご購入方法の相談や、塗料の種類、塗装の方法など、お気軽にお電話でご相談ください。お近くのオスモ事業所へどうぞ。E-mailでも受け付けております。,https://www.osmocolor.jp/howtobuy/index.html,2026-09-04,,,,,,オスモ&エーデル株式会社,,〒673-1111 兵庫県三木市吉川町上荒川748-6,https://osmo-edel.jp/,0794-72-2001,https://www.osmocolor.jp/howtobuy/index.html,info@nihon-osmo.co.jp,確定,連絡可,★有望。ブランド≠法人:「オスモカラー」はドイツ オスモ社の木材保護塗料ブランドで、日本の輸入元がオスモ&エーデル株式会社(1995年設立・兵庫県三木市)。自社を「商社」と称する**輸入総代理店**で、東京/名古屋/東北/九州に支社営業所を持つ中堅規模。★取引シグナル: サイトに「購入のご案内」ページを設け、本社・各営業所の電話とメール(info@nihon-osmo.co.jp)を公開し「ご購入方法の相談…お気軽にお電話でご相談ください」と案内している＝販路の相談を受け付ける姿勢。輸入商社なので取引の話が通じやすい類型(前任のパワーブリーズ/エントリージャパンと同型)。,https://osmo-edel.jp/company/ ; https://www.osmocolor.jp/howtobuy/index.html,3,DIY・工具・ガーデン,2699,6550,オスモカラー オスモ&エーデル カウンタートップオイル 0.5L #3058 ツヤ消し
36,,コムテック(COMTEC),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.e-comtec.co.jp/,2026-09-04,,,,,,株式会社コムテック（COMTEC）,,〒470-0151 愛知県愛知郡東郷町大字諸輪字池上1-1（サービスセンター）,https://www.e-comtec.co.jp/,0561-56-1814,,,候補,連絡可,**本社所在地は特定できていない。** 公式サイトで確認できたのはサービスセンター（愛知県愛知郡東郷町）の住所のみで、これを本社として登録するのは推測になるため『（サービスセンター）』と明記した。電話も修理・問い合わせ窓口（無料通話 0800-200-5654 / 有料 0561-56-1814）で、法人窓口ではない,https://www.e-comtec.co.jp/0_etc/etc/search.html ; https://www.e-comtec.co.jp/0_etc/mainte/repair_individual.php,3,車＆バイク,7873,18500,コムテック GPSレシーバー シガーソケット挿入タイプ ZERO 108C 無料データ更新
37,,タカギ(Takagi),A,2,contact,"[""form"", ""mail"", ""phone""]",,,会社名 株式会社タカギ 電話番号 048-615-3551（受注センター） メールアドレス b2b@takagi.co.jp,https://hi-business.takagi.co.jp/corporate.php,2026-09-04,,,,,,株式会社タカギ,,〒802-8540 福岡県北九州市小倉南区堀越413（本社工場）,https://takagi.co.jp/,048-615-3551,https://hi-business.takagi.co.jp/corporate.php,b2b@takagi.co.jp,確定,有望(小ロット/OEM/B2Bの明示あり),"★**法人取引専用の窓口が公開されている稀なケース**。電話 048-615-3551 とメール b2b@takagi.co.jp はいずれも受注センター（埼玉県さいたま市）の B2B 窓口。代表番号は 093-962-0941。売上394億円・従業員1,426名の大手だが、B2B 窓口が明示されている点で打診の余地はある",https://takagi.co.jp/company/outline.html ; https://hi-business.takagi.co.jp/corporate.php,3,ホーム＆キッチン,1113,3300,タカギ(takagi) コネクター ホース ジョイント 三方コネクターコック付(FJ) 分岐 G099FJ 4.5 x 15.2 x 18.8 cm
38,,ピープル,A,2,contact,"[""form"", ""mail"", ""phone""]",,,こちらは、上記以外の当社に関するお問い合わせの専用窓口です。法人のお客様、企業や採用に関してお問い合わせのある方は、こちらからお願いいたします。,https://www.people-kk.co.jp/contact/,2026-09-04,,,,,,"ピープル株式会社（People Co.,Ltd.）",,〒103-0004 東京都中央区東日本橋2-15-5 VORT東日本橋,https://www.people-kk.co.jp/,03-3862-2768,https://www.people-kk.co.jp/contact/,,確定,対象外(大手/流通構造),★打診可能。東証スタンダード上場だが社員40名の小規模組織。**問い合わせページに『法人のお客様、企業や採用に関してお問い合わせのある方は、こちらから』という法人専用窓口が明示されている**。2026年5月にFAXを廃止しフォームへ一本化。営業お断りの記載なし。商品窓口は別途 03-3862-3739,https://www.people-kk.co.jp/company/corporate/ ; https://www.people-kk.co.jp/contact/,3,おもちゃ,1930,4800,ピープル ロングセラー いたずら1歳 やりたい放題 ビッグ版 リアル+(リアルプラス) 8ヶ月から
39,,四日市ばんこ焼 【日本製】,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,,2026-09-04,,,,,,,,,,,,,不明,連絡不可,**特定できず、全項目を空欄にした。** 『四日市ばんこ焼（萬古焼）』は三重県四日市市の**産地名**であってメーカー名ではない。同産地の窯元・商社が複数ヒットした（株式会社華月／有限会社弥生陶園／株式会社スズ木）が、代表商品『ふっくらごはん鍋 3合炊き 二重蓋』の製造元がどれかを確定できない。**候補が複数あるときに1社を選ぶのは推測になるので選ばない。** 産地としては小規模窯元が多く本丸の性質を持つため、**代表ASINから出品者・製造元を特定する追加調査を推奨**,https://www.donabe.info/pages/company ; https://yayoitouen.jp/company/ ; https://kksuzuki.com/,3,ホーム＆キッチン,2665,5860,【 ふっくら ごはん鍋 】 3合炊き 二重蓋 四日市ばんこ焼 (日本製) 【 本格派 ３合炊 】
40,,東映,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.toei.co.jp/,2026-09-04,,,,,,"東映株式会社（TOEI COMPANY, LTD.）",,〒104-8108 東京都中央区京橋2丁目2番1号 京橋エドグラン,https://www.toei.co.jp/,03-3535-4641,https://faq.toei.co.jp/faq/index.html,,確定,対象外(大手/流通構造),★★仕入れ窓口が別会社に移っている。有価証券報告書に『当社は2024年4月1日を効力発生日として、**DVD・ブルーレイディスク販売等のパッケージ事業を会社分割により東映ビデオ株式会社へ承継**』と明記。したがってDVD/BDの取引相手は東映本体ではなく**東映ビデオ株式会社**。電話は有報記載の代表番号（一次情報）。所在地は会社概要（京橋エドグラン）と有報の本店（中央区銀座3-2-17）が食い違うが、新しい会社概要を採った。東証プライム上場・従業員445名,https://www.toei.co.jp/company/profile/index.html ; https://www.toei.co.jp/ir/library/securities/__icsFiles/afieldfile/2025/06/25/0625.pdf,3,DVD,3962,9980,ドラゴンボール超 ブロリー 特別限定版 (初回生産限定) [DVD]
41,,東芝(TOSHIBA),A,2,contact,"[""form"", ""mail"", ""phone""]",,,電話でのお問い合わせはセールスネットワークからお近くの営業拠点へお掛けください。,https://www.toshibatec.co.jp/product/pos-store/supply/supply-regiroll/,2026-09-04,,,,,,東芝テック株式会社（Toshiba Tec Corporation）,,〒141-8562 東京都品川区大崎1-11-1 ゲートシティ大崎ウエストタワー,https://www.toshibatec.co.jp/,03-6830-9100,,,確定,対象外(大手/流通構造),"代表商品『東芝TEC純正 感熱レジロールペーパー』のメーカーは東芝本体ではなく**東芝テック株式会社**（1950年設立・資本金399億円・連結売上5,692億円・連結15,078人）。★レジロールは『**電話でのお問い合わせはセールスネットワークからお近くの営業拠点へ**』＝地域の営業拠点経由。大手のため初回小ロットの直取引の相手ではない",https://www.toshibatec.co.jp/company/corporate/info/ ; https://www.toshibatec.co.jp/product/pos-store/supply/supply-regiroll/,3,パソコン・周辺機器,5032,10889,東芝TEC純正 58mm幅 感熱レジロールペーパー（芯あり） 58R-80TR-ZC 20巻
42,,GRAPHT (グラフト),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://grapht.tokyo/,2026-09-04,,,,,,MSY株式会社,,東京都渋谷区,https://grapht.tokyo/,,,,候補,連絡不可,『GRAPHT』は**MSY株式会社**（東京都渋谷区）のブランド（2011年誕生・商標もMSY社）。★所在地は『東京都渋谷区』までしか公表資料から確認できず、番地・電話・メールは取得できていない。**推測で埋めないため空欄のまま。** 家電量販店・PC専門店に流通させており、正規の卸ルートがある,https://msygroup.com/information/20260319_2/ ; https://grapht.tokyo/,2,楽器・音響機器,4075,8828,GRAPHT マイクアーム ロープロファイル 日本メーカー MICROPHONE ARM 【ブラック】黒 耐荷重 2kg 360度回転 角度調節可能 3/8 5/8 マイククリップ
43,,JASON MARKK(ジェイソンマーク),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://jasonmarkk.co.jp/,2026-09-04,,,,,,株式会社GRIDDY,,〒150-0001 東京都渋谷区神宮前1-1-8 402,https://jasonmarkk.co.jp/,03-6438-9786,https://jasonmarkk.co.jp/pages/contact-us,contact@griddyinc.com,確定,連絡可,JASON MARKK は米国のスニーカーケアブランド。日本の販売元は株式会社GRIDDY。**出典は特定商取引法に基づく表記＝法律で掲示が義務づけられた一次情報**（受付9:00-18:00 土日祝除く）。原宿にフラッグシップストアあり（03-6455-5012）。中小規模で打診の余地がある,https://jasonmarkk.co.jp/policies/legal-notice ; https://jasonmarkk.co.jp/pages/contact-us,2,ファッション,940,2970,【ジェイソンマーク】 JASON MARKK ESSENTIAL KIT スニーカー クリーナー ( ディープクリーニングソリューション 118ml & スタンダードクリーニングブ
44,,Laundrin'(ランドリン),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.naturelab.co.jp/,2026-09-04,,,,,,株式会社ネイチャーラボ,,〒150-0012 東京都渋谷区広尾1-1-39 恵比寿プライムスクエアタワー11F,https://www.naturelab.co.jp/,0120-880-337,,info@laundrin.jp,確定,連絡可,『ランドリン』は株式会社ネイチャーラボ（1997年設立）のブランド。事業内容は『商品マーケティング／流通プラットフォーム／通販プラットフォーム』で、海外グループ会社もある中堅。出典は特定商取引法に基づく表記＝一次情報。柔軟剤・芳香剤は**家庭用品品質表示法の対象**なので出品時に表示確認が要る,https://laundrin.jp/pages/特定商取引法に関する表記 ; https://www.naturelab.co.jp/company/,2,車＆バイク,315,1900,Laundrin'(ランドリン) Laundrin 車用フレグランス ブルー66 本体4個入り
45,,あしあげ隊,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.tatsufuto.co.jp/,2026-09-04,,,,,,株式会社タツフト,,〒141-0031 東京都品川区西五反田2丁目15-7 ジブラルタ生命五反田ビル1F,https://www.tatsufuto.co.jp/,03-3779-6186,https://www.tatsufuto.co.jp/ashiage/lp/,,確定,有望(小ロット/OEM/B2Bの明示あり),『あしあげ隊』はブランド名で、法人は株式会社タツフト。フォームは法人向けLP内のもの（種別=法人・商談希望の選択肢あり）。**卸・OEM の打診先として最も筋が良い1社**。法人番号は未取得,https://www.tatsufuto.co.jp/office/ ; https://www.tatsufuto.co.jp/ashiage/lp/,2,DIY・工具・ガーデン,1126,3299,あしあげ隊 TFi-7015T 冷蔵庫など キズ凹み防止ゴムマット タツフト (旧:hmd-7015T)
46,,アセキ,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,,2026-09-04,,,,,,,,,,,,,不明,連絡不可,**取得ゼロ。** 検索結果は偽ECサイト（sgpstudios.com）と無関係な会社のみ。ヒットした『株式会社アセック』は兵庫県尼崎市の**計量データ処理システムの会社で、ジューサーとは無関係**なので採用しなかった。『アセキ』ブランドの運営元に関する一次情報がない。Amazon専売の中国系ブランドの可能性,,2,ホーム＆キッチン,3355,6973,"アセキ ジューサー スロージューサー 搾りカス分離 低速回転 小型 ミキサー 高い搾汁率 酸化しにくい 取り付け簡単(ブラック, Mサイズ)"
47,,エアブラシワークス,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://chuuta.com/,2026-09-04,,,,,,"株式会社エアブラシワークス（Airbrushworks Co., Ltd.）",,〒420-0801 静岡県静岡市葵区東千代田1-7-4 2F,https://chuuta.com/,054-689-2976,,info@chuuta.com,確定,有望(小ロット/OEM/B2Bの明示あり),★★本丸候補。エアブラシ製品の**企画・製造・販売**を行う小規模メーカー（静岡）。メール・電話を公開、電話は土日祝も10:00-21:00 対応と記載。★注意：検索1位に出た『**株式会社エアテックス**』（大阪・airbrush.co.jp）は**同じエアブラシ業界の別会社**なので採用しなかった,https://chuuta.com/info/ ; https://airbrush.works/top/contact/,2,ホビー,1883,3570,エアブラシワークス AW-103 エアブラシ ハンドピース 0.3mm 0.2mm 0.5mm ダブルアクション プラモデル 塗装 ガンプラ 初心者
48,,オーム社,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.ohmsha.co.jp/,2026-09-04,,,,,,"株式会社オーム社（Ohmsha, Ltd.）",2010001013304,〒101-8460 東京都千代田区神田錦町3-1,https://www.ohmsha.co.jp/,03-3233-0641,,,確定,対象外(大手/流通構造),法人番号・所在地は gBizINFO（経産省）で確認。電話は自然科学書協会の会員名簿（業界団体の一次資料）。1914年創業の技術書出版社。出版社は取次経由の流通が基本で、直取引の相手ではない,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2010001013304 ; https://www.nspa.or.jp/publishers/ohmsha/,2,本,554,4420,ぜんぶ絵で見て覚える 第2種電気工事士 学科試験 すい～っと合格 2025年版
49,,カワサキ(Kawasaki),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.kawasaki-motors.com/ja-jp/,2026-09-04,,,,,,株式会社カワサキモータースジャパン,9140001034735,〒673-8666 兵庫県明石市川崎町1番1号,https://www.kawasaki-motors.com/ja-jp/,0120-400819,,,確定,連絡可,代表商品『Vent Vert 冴強』はカワサキ純正オイル。1回目の検索では『トタル・ルブリカンツ・ジャパン（受託製造元）』『株式会社ヴァンヴェール（無関係）』『株式会社ルチア（無関係な育毛剤）』が混在し確定できず、2回目の検索で総販売元を特定した。法人番号は公式サイト記載のインボイス登録番号 T9140001034735 の T を除いた値。電話はお客様相談室のフリーダイヤル（仕入れ窓口ではない）,https://www.kawasaki-motors.com/ja-jp/corporate,2,車＆バイク,1848,7035,KAWASAKI (カワサキ) Vent Vert(ヴァン・ヴェール)・冴強 4サイクルエンジンオイル 【 容量:1L缶】 SAE:10W-50 100%化学合成 API:SM J
50,,コンテンツ・ファクトリー,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,,2026-09-04,,,,,,株式会社コンテンツ・ファクトリー,6011001042017,〒150-0031 東京都渋谷区桜丘町27番5号,,,,,候補,連絡不可,**商号・法人番号・所在地は取れたが、連絡手段はゼロ。** 出典はいずれも国税庁データの二次配信サイトで、公式HP・電話は『-』（未登録）。自社サイトが見つからない。★同名の『株式会社コンテンツファクトリー』（中黒なし・東京都品川区・法人番号2010701035564）が別に存在し、こちらは2026-03-13に閉鎖済み。**混同しないこと**,https://houjin.jp/c/6011001042017 ; https://cnavi.g-search.or.jp/detail/6011001042017.html,2,本,1092,3025,ドキュメント・コミュニケーションの全体観 上巻 原則と手順
51,,トイコー(Toyco),A,2,contact,"[""form"", ""mail"", ""phone""]",,,電話受付窓口ではお客様サービス向上の為、電話内容を録音させていただくことがありますのでご了承ください。また、お問合せいただきました内容について、悪質性が高いと当社が判断する行為を確認した場合、ご対応をお断りさせていただく場合がございます。 お問い合わせ項目：商品について／故障・修理について／部品販売について／その他,https://toyco.co.jp/contact.html,2026-09-04,,,,,,株式会社トイコー（TOYCO LTD.）,,〒130-0002 東京都墨田区業平5丁目3番11号,https://toyco.co.jp/,,https://toyco.co.jp/contact.html,,確定,有望(小ロット/OEM/B2Bの明示あり),"★★本丸候補。1981年設立・資本金3,000万円・**従業員11名**。玩具の**企画、製造および販売**。主要取引先はハピネット・カワダ・トイザらス・石川玩具＝**問屋経由の流通が主**。受付 平日9:00-17:00。★電話番号は公式サイトに数字の記載が見当たらず空欄（推測しない）。連絡はフォーム。注記の『悪質性が高いと当社が判断する行為』はカスタマーハラスメント対応であり、営業お断りの表示ではない",https://toyco.co.jp/company.html ; https://toyco.co.jp/contact.html,2,おもちゃ,2706,7240,トイコー(Toyco) サウンドジェット787 25.1 x 23.6 x 15 cm 670 3歳以上
52,,ドウシシャ(DOSHISHA),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.doshisha.co.jp/corporate/about/,2026-09-04,,,,,,株式会社ドウシシャ,,〒542-8525 大阪市中央区東心斎橋1-5-5（大阪本社）／〒108-8573 東京都港区高輪2-21-46（東京本社）,https://www.doshisha.co.jp/,06-6121-5888,,,確定,対象外(大手/流通構造),**東証プライム上場（証券コード7483）・資本金49億93百万円**の生活用品の企画・製造・卸。1974年創業。**規模的に初回小ロットの直取引の相手ではない**,https://www.doshisha.co.jp/corporate/about/,2,ホーム＆キッチン,1080,10495,ドウシシャ 大人のふわふわかき氷器ハンディタイプ コードレス 刃の高さ調整機能付 バラ氷専用 レシピ付 パステルターコイズ
53,,ドリーミュージック,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://dreamusic.co.jp/,2026-09-04,,,,,,株式会社ドリーミュージック,4011001053247,〒150-0001 東京都渋谷区神宮前1-4-16 神宮前M-SQUARE,https://dreamusic.co.jp/,03-6892-1613,https://dreamusic.co.jp/inquiry/,,確定,連絡可,法人番号は houjin.jp（国税庁データの二次配信）由来のため参考。商号・所在地・電話は公式会社概要で確認。メールは非公開（フォームのみ）,https://dreamusic.co.jp/company/ ; https://houjin.jp/c/4011001053247,2,DVD,5040,10686,A HARD DAY'S NIGHT 【4K Ultra HDブルーレイ+ブルーレイ(本編)+ブルーレイ(特典映像)+ミニ写真集20P+読本付き超豪華仕様盤52P「ハード・デイズ・
54,,ナトコ,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.natoco.co.jp/,2026-09-04,,,,,,ナトコ株式会社,,〒470-0213 愛知県みよし市打越町生賀山18番地,https://www.natoco.co.jp/,,https://www.natoco.co.jp/about/,,確定,連絡可,1948年『名古屋塗料株式会社』として創業。塗料・インキ・合成樹脂・ファインケミカルの製造販売。本社工場を併設。『スケルトン』は**日本で最初に開発された塗料剥離剤**。サイトに『各種製品についてのご相談・ご質問、**お見積もり依頼**など、お気軽にお問い合わせください』とあり取引の窓口はある。★電話番号は公式サイトに記載がなく空欄（推測しない）,https://www.natoco.co.jp/about/ ; https://www.natoco.co.jp/products/rs/,2,DIY・工具・ガーデン,1018,3888,ナトコ スケルトンM-201 金属ハケ用 1kg 業務用 剥離
55,,ネットステージ,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.zacjapan.jp/about.php,2026-09-04,,,,,,株式会社ザックジャパンカンパニー,3210001004744,〒918-8239 福井県福井市成和1丁目2101-4,https://www.zacjapan.jp/,0776-27-5524,https://www.zacjapan.jp/,,確定,有望(小ロット/OEM/B2Bの明示あり),★★★最有力級。ただし**ブランド≠法人の追跡が入っているので注意**: キュー上の「ネットステージ」はAmazonの販売事業者(小売)であり製造元ではない。代表商品「スーパージェットマックス」の製造元は株式会社ザックジャパンカンパニー(ZAC JAPAN)で、同社サイトの製品ページに当該品番79615/JAN4545794001650が掲載されていることで裏取り済み。打診先は同社。★本丸シグナルが揃っている: 福井県公式の企業情報に「カー用品となるワイパーやケミカル品の企画、製造、販売を行っています。**ＯＥＭでの受注形態を中心に**自社ブランド品も多数ラインナップしています」と明記。従業員15名・資本金1000万円・2001年法人改組の中小メーカー。販売先は全国の自動車部品商社や小売店＝**卸取引が本業**。法人番号・インボイス番号(T3210001004744)も確認済み。,https://www.zacjapan.jp/about.php ; https://291jobs.pref.fukui.lg.jp/shinsotsu/search/detail.php?ID=2927 ; https://houjin.goo.to/corporations/3210001004744,2,車＆バイク,696,2360,2本セット エバポレーター洗浄用 カーエアコン洗浄 スーパージェットマックス ガソリン車用スーパーJET MAX 79615
56,,メディコム・トイ(MEDICOM TOY),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.medicomtoy.co.jp/,2026-09-04,,,,,,株式会社メディコム・トイ,,〒151-0064 東京都渋谷区上原3-22-5,https://www.medicomtoy.co.jp/,03-3460-3933,https://contact.medicomtoy.co.jp/,,確定,連絡可,サポート窓口の電話は 03-3460-7555（別番号）。会社概要の代表TELは 03-3460-3933。メールは mct.recruit@medicomtoy.co.jp のみ見つかったが**採用専用のため不採用**。法人番号は未取得,https://www.medicomtoy.co.jp/company/ ; https://contact.medicomtoy.co.jp/,2,ホビー,5922,12491,メディコム・トイ (MEDICOM TOY) MAFEX マフェックス No.289 PEACEMAKER ピースメイカー 全高約160mm ノンスケール 塗装済み アクションフィ
57,,メロリン,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.smith-nephew.com/ja-jp/contact-us/companyinfo,2026-09-04,,,,,,スミス・アンド・ネフュー株式会社,,〒105-5114 東京都港区浜松町2-4-1 世界貿易センタービルディング南館14階,https://www.smith-nephew.com/ja-jp,03-5403-8811,https://www.smith-nephew.com/ja-jp/japan/wound/ippan/qa,contactga.japan@smith-nephew.com,確定,対象外(大手/流通構造),★対象外寄り。ブランド≠法人:「メロリン」は英スミス・アンド・ネフュー社の創傷被覆材ブランドで、日本法人はスミス・アンド・ネフュー株式会社(1987年設立・従業員495名・資本金4億85百万円)。★留意点3つ: (1)株主がSmith & Nephew International S.A. 100%の外資子会社で、事業内容は「医療機器及び医療用具の**輸出入及び販売**」＝日本では製造していない。(2)主要仕入先が「スミス・アンド・ネフュー グループ各社」、主要販売先が「大学病院・国公立病院・私立病院」＝流通が病院向けに固定されている。(3)メロリンは医療機器届出番号を持つ管理対象品(届出番号13B1X10222WC0006)で、Amazon出品には規制確認が必須。直取引の相手ではない。,https://www.smith-nephew.com/ja-jp/contact-us/companyinfo ; https://www.smith-nephew.com/ja-jp/contact-us/countries/japan,2,産業・研究開発用品,4116,8711,スミス・アンド・ネフュー ウンド マネジメント メロリン 10×20cm 100枚入 66974939 …
58,,モリドライブ(MORIDRIVE),A,2,contact,"[""form"", ""mail"", ""phone""]",,,また、企業様向けのご提案も行っております。,https://rootsangyo.co.jp/company/,2026-09-04,,,,,,"ルート産業株式会社（ROOT SANGYO CO.,LTD.）",,〒270-0161 千葉県流山市鰭ヶ崎2097,https://rootsangyo.co.jp/,04-7150-3541,,,確定,有望(小ロット/OEM/B2Bの明示あり),★本丸候補。1978年創業・従業員12名・資本金1000万円の中小メーカー。『MORIDRIVE』は自社オリジナルブランド。会社情報に『企業様向けのご提案も行っております』と明記＝**B2B取引を自ら募集している**。営業お断りの記載なし,https://rootsangyo.co.jp/company/,2,車＆バイク,682,5575,モリドライブ エンジンオイル サイレントプラス 5W-30 3L SP GF-6A 全合成油 四輪車 軽自動車 ルート産業 MORIDRIVE
59,,ワンダーランド,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://wonderland-toy.com/,2026-09-04,,,,,,株式会社ワンダーランド（WONDERLAND COMPANY LTD.）,,〒130-0014 東京都墨田区亀沢4-5-7 ワンダーランドビル3F,https://wonderland-toy.com/,03-6280-8181,,,確定,有望(小ロット/OEM/B2Bの明示あり),★本丸候補。1999年設立・従業員10名・資本金1000万円。玩具/雑貨の企画・製作・製造・販売。ただし会社概要の『主要販売先』はバンダイ・エンスカイ・サンリオ等の大手メーカーと一次問屋であり、**小売への直販実績は不明**。打診はできるが条件は要確認,https://wonderland-toy.com/about/ ; https://wonderland-toy.com/access/,2,おもちゃ,460,2106,トミカ おふろでペタペタ!デラックス
