メーカー,レーン,判定理由,商号候補,法人格表記,該当商品数,主カテゴリ,第三者セラー数,屋号型セラー数,CNスコア,CNシグナル,想定仕入れ上限の中央値,Amazon価格の中央値,代表商品,代表ASIN,メーカー検索
Speakers Corner,除外:メディア,再販制度対象(法人化でも解けない),Analogue Productions,,1,ミュージック,4,0,0,,6174,16705,Time Out -Ltd/Hq/45 Rpm- [Analog],B008GOAENK,https://www.google.com/search?q=Speakers%20Corner%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
TCエンタテインメント,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),TCエンタテインメント,,1,DVD,2,0,0,,9290,16380,ミッドサマー UHD(Ultra HD Blu-ray)豪華版3枚組(スチールブック仕様・初回生産限定版),B089YG9T9D,https://www.google.com/search?q=TC%E3%82%A8%E3%83%B3%E3%82%BF%E3%83%86%E3%82%A4%E3%83%B3%E3%83%A1%E3%83%B3%E3%83%88%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
朝日新聞出版,除外:メディア,再販制度対象(法人化でも解けない),朝日新聞出版,,1,本,2,0,0,,9559,16500,羽生結弦写真集 Tai（AERA特別編集／スペシャルBOX入り） ([バラエティ]),4023323764,https://www.google.com/search?q=%E6%9C%9D%E6%97%A5%E6%96%B0%E8%81%9E%E5%87%BA%E7%89%88%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Wondershare,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),Wondershare,,1,PCソフト,0,0,2,S1_ブランド直営出品,10182,16980,高度な動画復元 Wondershare Recoverit Ultimate Plus（Mac版）写真、ビデオ、ドキュメント データ復元ソフト 起動しないパソコ,B08SPZQW9H,https://www.google.com/search?q=Wondershare%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ブロッコリー(BROCCOLI),除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),ブロッコリー,,1,ゲーム,2,0,0,,10542,18620,ジャックジャンヌ 限定ユニヴェールコレクション - Switch,B082Y5LCM3,https://www.google.com/search?q=%E3%83%96%E3%83%AD%E3%83%83%E3%82%B3%E3%83%AA%E3%83%BC%28BROCCOLI%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ロッキングオン,除外:メディア,再販制度対象(法人化でも解けない),ロッキングオン,,1,本,3,1,0,,145,1958,ロッキング・オン・ジャパン 2025年 11 月号 [雑誌],B0FMYWT923,https://www.google.com/search?q=%E3%83%AD%E3%83%83%E3%82%AD%E3%83%B3%E3%82%B0%E3%82%AA%E3%83%B3%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
英治出版,除外:メディア,再販制度対象(法人化でも解けない),英治出版,,1,本,5,3,0,,391,4135,イシューからはじめよ――知的生産の「シンプルな本質」,4862760856,https://www.google.com/search?q=%E8%8B%B1%E6%B2%BB%E5%87%BA%E7%89%88%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
テイクツー・インタラクティブ・ジャパン,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),テイクツー・インタラクティブ・ジャパン,,1,ゲーム,5,0,0,,1864,5080,【PS5】グランド・セフト・オートV 【CEROレーティング「Z」】,B09XM8BJRZ,https://www.google.com/search?q=%E3%83%86%E3%82%A4%E3%82%AF%E3%83%84%E3%83%BC%E3%83%BB%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%A9%E3%82%AF%E3%83%86%E3%82%A3%E3%83%96%E3%83%BB%E3%82%B8%E3%83%A3%E3%83%91%E3%83%B3%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Hodderscape,除外:メディア,再販制度対象(法人化でも解けない),Hodderscape,,1,洋書,5,1,0,,666,5828,Red Rising: enter the explosive first book in the globally bestselling dystopian,1399741195,https://www.google.com/search?q=Hodderscape%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Lector House,除外:メディア,再販制度対象(法人化でも解けない),Lector House,,1,洋書,3,0,0,,3087,6111,Anne Of Green Gables,9353423031,https://www.google.com/search?q=Lector%20House%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
E-Kitap Projesi & Cheapest Books,除外:メディア,再販制度対象(法人化でも解けない),E-Kitap Projesi & Cheapest Books,,1,洋書,5,0,0,,3376,6180,Animal Farm (Essential Orwell Classics),6257120918,https://www.google.com/search?q=E-Kitap%20Projesi%20%26%20Cheapest%20Books%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Blaze Entertainment,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),Blaze Entertainment,,1,PCソフト,3,0,2,S3_略号JPセラー,3225,6633,Blaze Evercade The Llamasoftコレクション。,B0FPG1X2JP,https://www.google.com/search?q=Blaze%20Entertainment%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
inforest,除外:メディア,再販制度対象(法人化でも解けない),インフォレスト,,1,本,2,1,0,,3617,7192,勘定奉行 i 公式導入ガイドブック (OBCオフィシャルガイドブック),486190952X,https://www.google.com/search?q=inforest%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
"Farrar, Straus and Giroux",除外:メディア,再販制度対象(法人化でも解けない),Farrar Straus & Giroux,,1,洋書,6,1,0,,2810,7056,Holes (Newberry Medal Book),0374332657,https://www.google.com/search?q=Farrar%2C%20Straus%20and%20Giroux%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ぴあ,除外:メディア,再販制度対象(法人化でも解けない),ぴあ,,1,本,2,1,0,,3744,7350,帝国劇場アニバーサリーブック NEW HISTORY COMING(劇場内外観オリジナルクリアファイル付き),B0DLBD5BNL,https://www.google.com/search?q=%E3%81%B4%E3%81%82%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Abrams Books,除外:メディア,再販制度対象(法人化でも解けない),Harry N. Abrams,,1,洋書,5,1,0,,3331,7864,The Art of Star Wars: The Mandalorian (Season Two): The Official Behind-the-Scen,1419756516,https://www.google.com/search?q=Abrams%20Books%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ジェネオン・ユニバーサル,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),ジェネオン・ユニバーサル,,1,DVD,3,0,0,,1876,8710,地獄の黙示録 3Disc コレクターズ・エディション (初回生産限定) [Blu-ray],B004XV5H7I,https://www.google.com/search?q=%E3%82%B8%E3%82%A7%E3%83%8D%E3%82%AA%E3%83%B3%E3%83%BB%E3%83%A6%E3%83%8B%E3%83%90%E3%83%BC%E3%82%B5%E3%83%AB%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
新日本法規出版,除外:メディア,再販制度対象(法人化でも解けない),新日本法規出版株式会社,あり,1,本,5,1,0,,4075,8210,建築消防advice 2025,4788294141,https://www.google.com/search?q=%E6%96%B0%E6%97%A5%E6%9C%AC%E6%B3%95%E8%A6%8F%E5%87%BA%E7%89%88%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Barbie,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),ALLWIN,,1,PCソフト,2,0,0,,3496,10673,Barbie Fashionista Boneca Cadeira de Rodas Roxa,B0B627GTQM,https://www.google.com/search?q=Barbie%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
メディックメディア,除外:メディア,再販制度対象(法人化でも解けない),メディックメディア,,1,本,4,1,0,,2645,10450,レビューブック　管理栄養士　2026,4896329570,https://www.google.com/search?q=%E3%83%A1%E3%83%87%E3%82%A3%E3%83%83%E3%82%AF%E3%83%A1%E3%83%87%E3%82%A3%E3%82%A2%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Doubleday,除外:メディア,再販制度対象(法人化でも解けない),Doubleday Canada,,1,洋書,5,0,0,,5043,10407,"Thinking, Fast and Slow",0385676514,https://www.google.com/search?q=Doubleday%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Harvill Secker,除外:メディア,再販制度対象(法人化でも解けない),Harvill Secker,,1,洋書,2,0,0,,3314,10582,Nineteen Eighty-Four,1787301087,https://www.google.com/search?q=Harvill%20Secker%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Garnier Editora,除外:メディア,再販制度対象(法人化でも解けない),Garnier Editora,,1,洋書,2,0,0,,3822,11086,The Little Prince,6584956601,https://www.google.com/search?q=Garnier%20Editora%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ロゴヴィスタ,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),ロゴヴィスタ,,1,PCソフト,2,1,0,,6523,11220,研究社 医学英和辞典 第2版,B002UQSTKU,https://www.google.com/search?q=%E3%83%AD%E3%82%B4%E3%83%B4%E3%82%A3%E3%82%B9%E3%82%BF%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
KRE,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),KRE,,1,DVD,6,0,0,,4853,11980,25th L'Anniversary LIVE(初回生産限定盤) [Blu-ray],B07B12HMLC,https://www.google.com/search?q=KRE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Yale University Press,除外:メディア,再販制度対象(法人化でも解けない),Yale University Press,,1,洋書,5,0,0,,6719,12292,The Great Delusion: Liberal Dreams and International Realities (Henry L. Stimson,0300234198,https://www.google.com/search?q=Yale%20University%20Press%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Bolinda/Audible Audio,除外:メディア,再販制度対象(法人化でも解けない),Bolinda/Audible Audio,,1,洋書,3,0,2,S2_ピンイン風セラー,3819,12630,Project Hail Mary,186755609X,https://www.google.com/search?q=Bolinda/Audible%20Audio%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Business,除外:メディア,再販制度対象(法人化でも解けない),Blackstone Pub,,1,洋書,2,0,0,,8320,13906,Never Split the Difference: Negotiating As If Your Life Depended on It,1504735056,https://www.google.com/search?q=Business%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Hachette Audio,除外:メディア,再販制度対象(法人化でも解けない),Hachette Audio,,1,洋書,2,0,0,,7697,13046,"Tuesdays With Morrie: An old man, a young man, and life's greatest lesson",1405500662,https://www.google.com/search?q=Hachette%20Audio%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
AMOVO,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),,,1,DVD,3,0,0,,6171,13258,The Lord of the Rings: The Fellowship of the Ring (Extended Edition) [Blu-ray],B00AWDXB0Q,https://www.google.com/search?q=AMOVO%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ポケモン(Pokemon),除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),ポケモン,,1,ゲーム,3,2,0,,5108,14500,ぽこ あ ポケモン -Switch2 【Amazon.co.jpオリジナル特典】メタモン型木製トレー(サイズ約直径16cm) 同梱 & デジタル特典 家具「ひら,B0FYD2QQ8C,https://www.google.com/search?q=%E3%83%9D%E3%82%B1%E3%83%A2%E3%83%B3%28Pokemon%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Seefox,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),,,1,DVD,3,0,0,,8864,14752,Jaws (Limited Edition Steelbook) [4K Ultra HD + Blu-ray + Digital HD],B08SBLQGKJ,https://www.google.com/search?q=Seefox%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
フォーライフミュージックエンタテイメント,除外:メディア,再販制度対象(法人化でも解けない),フォーライフミュージックエンタテイメント,,1,ミュージック,2,0,0,,4051,15139,1996 30th Anniversary Edition (完全生産限定盤) (アナログ盤) - 坂本龍一 (特典なし) [Analog],B0GHR37BB6,https://www.google.com/search?q=%E3%83%95%E3%82%A9%E3%83%BC%E3%83%A9%E3%82%A4%E3%83%95%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%83%E3%82%AF%E3%82%A8%E3%83%B3%E3%82%BF%E3%83%86%E3%82%A4%E3%83%A1%E3%83%B3%E3%83%88%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Island Uk,除外:メディア,再販制度対象(法人化でも解けない),Island Uk,,1,ミュージック,3,0,0,,4076,15114,Back To Black / Valerie [Analog],B0DH7LS1XJ,https://www.google.com/search?q=Island%20Uk%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
DVDBOX5枚組,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),ポニーキャニオン,,1,PCソフト,2,1,0,,1350,15569,古畑任三郎DVDBOX2ndseason [並行輸入品],B01N7BHYES,https://www.google.com/search?q=DVDBOX5%E6%9E%9A%E7%B5%84%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
株式会社マーベラス,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),株式会社マーベラス,あり,1,DVD,3,2,0,,9394,16000,【Amazon.co.jp限定】「キミとアイドルプリキュア♪感謝祭」（＜アクリルブロック＞付版）（アクリルキーホルダー 付） [Blu-ray],B0GMQPWZMN,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%9E%E3%83%BC%E3%83%99%E3%83%A9%E3%82%B9%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Barnes & Noble,除外:メディア,再販制度対象(法人化でも解けない),Barnes & Noble Inc,,1,洋書,3,1,0,,7225,15652,Complete Sherlock Holmes (Barnes & (Barnes & Noble Leatherbound Classic Collecti,1435158105,https://www.google.com/search?q=Barnes%20%26%20Noble%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Vintage Canada,除外:メディア,再販制度対象(法人化でも解けない),Vintage Canada,,1,洋書,2,0,0,,5142,15172,The Remains of the Day: A Novel,0345809327,https://www.google.com/search?q=Vintage%20Canada%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Imports,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),,,1,DVD,2,0,0,,7027,16313,Meet Joe Black [Blu-ray] [Import],B004KA6HRG,https://www.google.com/search?q=Imports%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
VITURE,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),VITURE,,1,ゲーム,1,0,4,S1_ブランド直営出品+S3_略号JPセラー,10221,17400,VITURE Pro モバイルドック XR/ARグラス対応 HDMI対応 Switch 2・Switch 2D/3D 協力プレイ・長時間駆動,B0D3LT6BJW,https://www.google.com/search?q=VITURE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ENTEKE,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),,,1,DVD,5,0,0,,8973,16872,"Monsters, Inc. Disney Pixar LIMITED EDITION GIFT SET Includes 2 Disc Blu-Ray, 1 ",B004H3C2TI,https://www.google.com/search?q=ENTEKE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
iZotope,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),iZotope,,1,PCソフト,2,1,0,,10490,17800,iZotope Neutron 5 アップグレード版 from Neutron 4 or any previous version of Neutron Sta,B0DLB98N9L,https://www.google.com/search?q=iZotope%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ESET,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),キヤノンITソリューションズ,,1,PCソフト,2,0,0,,7348,18856,ESET HOME セキュリティ プレミアム| 5台3年 |カード版|ウイルス対策|Win/Mac/Android/iOS対応,B09GV9KPKY,https://www.google.com/search?q=ESET%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Puffin,除外:メディア,再販制度対象(法人化でも解けない),Puffin,,1,洋書,5,0,0,,11056,18592,The Very Hungry Caterpillar 50th Anniversary Collector's Edition,0241372666,https://www.google.com/search?q=Puffin%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ダイヤモンド社,除外:メディア,再販制度対象(法人化でも解けない),ダイヤモンド社,,1,本,4,2,0,,449,1998,いちばんわかりやすい確定申告の書き方　令和7年3月17日締切分,4478121141,https://www.google.com/search?q=%E3%83%80%E3%82%A4%E3%83%A4%E3%83%A2%E3%83%B3%E3%83%89%E7%A4%BE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Faber & Faber,除外:メディア,再販制度対象(法人化でも解けない),Faber & Faber,,1,洋書,4,3,0,,728,2280,Never Let Me Go,0571224148,https://www.google.com/search?q=Faber%20%26%20Faber%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
いいずな書店,除外:メディア,再販制度対象(法人化でも解けない),株式会社いいずな書店,あり,1,本,4,2,0,,263,4456,英文法・語法　Vintage 4th Edition,486460780X,https://www.google.com/search?q=%E3%81%84%E3%81%84%E3%81%9A%E3%81%AA%E6%9B%B8%E5%BA%97%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ニュートンプレス,除外:メディア,再販制度対象(法人化でも解けない),ニュートンプレス,,1,本,2,1,0,,621,4617,ニャートン ネコの科学 (Newton増刊),B0DRNC2N4L,https://www.google.com/search?q=%E3%83%8B%E3%83%A5%E3%83%BC%E3%83%88%E3%83%B3%E3%83%97%E3%83%AC%E3%82%B9%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Plata Publishing,除外:メディア,再販制度対象(法人化でも解けない),Plata Publishing,,1,洋書,3,1,0,,1551,5238,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and ,1612680178,https://www.google.com/search?q=Plata%20Publishing%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ドレミ楽譜出版社,除外:メディア,再販制度対象(法人化でも解けない),ドレミ楽譜出版社,,1,本,4,3,0,,930,5343,WEST. 10th Anniversary Piano Selection ／ WESCORE VOL.1（オフィシャル・スコア） (OFFICIAL SCO,4285154196,https://www.google.com/search?q=%E3%83%89%E3%83%AC%E3%83%9F%E6%A5%BD%E8%AD%9C%E5%87%BA%E7%89%88%E7%A4%BE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
NSW,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),バンダイナムコエンターテインメント,,1,ゲーム,4,0,0,,1331,5200,釣りスピリッツ Nintendo Switchバージョン -Switch,B07RNK496B,https://www.google.com/search?q=NSW%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
日経BP,除外:メディア,再販制度対象(法人化でも解けない),日経BP,,1,本,5,1,0,,1358,5009,2025-26年版 技術士第二次試験 建設部門 最新キーワード100,4296207946,https://www.google.com/search?q=%E6%97%A5%E7%B5%8CBP%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Kitty Media,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),Kitty Media,,1,DVD,5,0,2,S3_略号JPセラー,2592,5180,ホームスウィートオルギー Home Sweet Orgy ブルーレイ Blu-ray 全3話収録、日本語音声・英語字幕付き,B0CQ34NV29,https://www.google.com/search?q=Kitty%20Media%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Magrathea Publishing,除外:メディア,再販制度対象(法人化でも解けない),Magrathea Publishing,,1,洋書,4,1,0,,181,5588,The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,1544514212,https://www.google.com/search?q=Magrathea%20Publishing%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Sweet Cherry Publishing,除外:メディア,再販制度対象(法人化でも解けない),Cherry Stone Publishing,,1,洋書,5,0,0,,2805,5284,Animal Farm (The Complete George Orwell Collection),1802633898,https://www.google.com/search?q=Sweet%20Cherry%20Publishing%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
マイナビ出版,除外:メディア,再販制度対象(法人化でも解けない),マイナビ出版,,1,本,3,2,0,,720,5576,世界遺産検定公式過去問題集1・準1・2級【2025年度版】,4839988862,https://www.google.com/search?q=%E3%83%9E%E3%82%A4%E3%83%8A%E3%83%93%E5%87%BA%E7%89%88%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
AthleteBody株式会社,除外:メディア,再販制度対象(法人化でも解けない),AthleteBody株式会社,あり,1,本,2,1,0,,2794,5720,肉体改造のピラミッド 栄養編,4991208505,https://www.google.com/search?q=AthleteBody%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
明治図書出版,除外:メディア,再販制度対象(法人化でも解けない),明治図書出版,,1,本,2,0,0,,2009,6468,大きいサイズ ほめ言葉手帳ワイド２０２５ Ｐｒａｉｓｅ　Ｄｉａｒｙ　Ｗ　２０２５,4189300101,https://www.google.com/search?q=%E6%98%8E%E6%B2%BB%E5%9B%B3%E6%9B%B8%E5%87%BA%E7%89%88%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
昭文社,除外:メディア,再販制度対象(法人化でも解けない),昭文社,,1,本,4,1,0,,1281,6858,ツーリングマップル R関東甲信越 2025,4398658505,https://www.google.com/search?q=%E6%98%AD%E6%96%87%E7%A4%BE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
